Jun 12 2020 at 11:03:19
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.28	-65.26	76.61	0.00	0.0706	12.84	564.8	289.63	0.0108	60.3	1.085	1.36	-22.17	1.77
	1.28	-65.72	76.58	0.00	0.0704	12.78	562.2	287.72	0.0119	68.6	1.236	1.55	-20.71	1.78
	2.27	-65.72	76.58	0.00	0.0698	12.71	559.4	286.32	0.0165	82.5	1.486	1.86	-18.57	1.77
	3.28	-65.26	76.61	0.00	0.0697	12.64	556.0	285.10	0.0176	97.6	1.757	2.20	-16.56	1.77
	4.26	-65.72	76.58	0.00	0.0700	12.73	560.2	286.70	0.0158	93.7	1.687	2.11	-17.06	1.77
	5.28	-65.72	76.61	0.00	0.0703	12.78	562.2	287.62	0.0134	74.7	1.344	1.68	-19.73	1.77
	6.26	-65.72	76.61	0.00	0.0704	12.80	563.1	288.12	0.0123	69.7	1.255	1.57	-20.53	1.77
	7.28	-65.72	76.61	0.00	0.0703	12.73	560.3	286.66	0.0138	87.1	1.568	1.96	-17.93	1.78
	8.27	-65.72	76.58	0.00	0.0706	12.82	563.9	288.63	0.0136	67.3	1.211	1.51	-20.94	1.77
	9.28	-65.72	76.61	0.00	0.0705	12.81	563.5	288.32	0.0115	64.7	1.165	1.46	-21.38	1.77
	10.27	-65.72	76.61	0.00	0.0705	12.83	564.5	288.83	0.0120	64.0	1.153	1.44	-21.50	1.77
	11.28	-65.72	76.58	0.00	0.0705	12.83	564.5	288.90	0.0117	66.5	1.197	1.50	-21.07	1.77
	12.27	-65.72	76.58	0.00	0.0704	12.79	562.9	288.07	0.0120	67.4	1.213	1.52	-20.92	1.77
	13.28	-65.72	76.61	0.00	0.0702	12.72	559.6	286.33	0.0135	81.4	1.466	1.83	-18.73	1.77
	14.27	-65.72	76.61	0.00	0.0701	13.04	573.7	293.53	0.0143	73.3	1.320	1.65	-19.95	1.77
	15.28	-65.72	76.58	0.00	0.0705	12.81	563.6	288.44	0.0119	67.3	1.211	1.51	-20.94	1.77
	16.27	-64.82	76.58	0.00	0.0701	12.70	559.0	287.33	0.0139	83.2	1.498	1.88	-18.42	1.77
	17.28	-65.72	76.61	0.00	0.0709	12.79	562.7	287.86	0.0101	71.7	1.290	1.61	-20.21	1.77
	18.27	-65.72	76.61	0.00	0.0702	12.89	567.0	290.11	0.0143	58.3	1.050	1.31	-22.56	1.77
	19.28	-65.72	76.61	0.00	0.0702	12.73	560.0	286.51	0.0136	79.7	1.434	1.79	-18.98	1.77
	20.27	-65.72	76.58	0.00	0.0701	12.70	558.6	285.90	0.0151	89.2	1.606	2.01	-17.65	1.77
	21.28	-65.71	76.64	0.00	0.0701	12.76	561.3	287.07	0.0149	77.1	1.388	1.74	-19.36	1.77
	22.27	-65.72	76.58	0.00	0.0700	12.82	564.2	288.78	0.0142	67.3	1.211	1.51	-20.94	1.77
	23.28	-65.72	76.61	0.00	0.0703	12.83	564.6	288.87	0.0138	71.0	1.279	1.60	-20.31	1.77
	24.27	-65.73	76.58	0.00	0.0694	12.55	552.4	282.69	0.0179	105.9	1.907	2.39	-15.60	1.77
	25.28	-65.72	76.58	0.00	0.0698	12.63	555.9	284.51	0.0162	97.0	1.746	2.18	-16.66	1.77
	26.34	-65.26	76.58	0.00	0.0694	12.52	551.0	282.61	0.0185	115.2	2.073	2.60	-14.57	1.77
	27.28	-65.26	76.61	0.00	0.0697	12.63	555.7	284.96	0.0161	94.8	1.706	2.14	-16.91	1.77
	28.34	-65.72	76.61	0.00	0.0698	12.67	557.4	285.17	0.0159	92.6	1.666	2.08	-17.21	1.77
	29.28	-65.72	76.58	0.00	0.0699	12.69	558.2	285.68	0.0157	88.0	1.584	1.98	-17.82	1.77
	30.28	-65.26	76.61	0.00	0.0702	12.71	559.3	286.80	0.0151	89.9	1.617	2.03	-17.54	1.77
	31.28	-65.26	76.61	0.00	0.0706	12.73	560.3	287.27	0.0140	87.2	1.569	1.97	-17.90	1.77
	32.28	-65.72	76.58	0.00	0.0708	12.88	566.5	289.94	0.0145	85.1	1.531	1.92	-18.21	1.77
	33.27	-65.72	76.61	0.00	0.0705	12.80	563.3	288.20	0.0133	76.2	1.372	1.72	-19.49	1.77
	34.28	-65.72	76.61	0.00	0.0696	12.59	553.9	283.41	0.0189	114.8	2.066	2.58	-14.63	1.77
	35.27	-65.72	76.58	0.00	0.0697	12.63	555.9	284.50	0.0178	106.1	1.909	2.39	-15.59	1.77
	36.28	-65.72	76.61	0.00	0.0701	12.72	559.5	286.28	0.0153	88.5	1.593	1.99	-17.75	1.77
	37.27	-65.26	76.61	0.00	0.0705	12.77	561.8	288.08	0.0127	79.0	1.422	1.78	-19.05	1.77
	38.28	-65.72	76.58	0.00	0.0702	12.82	564.0	288.66	0.0147	73.2	1.318	1.65	-19.97	1.77
	39.27	-65.72	76.58	0.00	0.0700	12.68	557.9	285.51	0.0159	96.5	1.737	2.17	-16.72	1.77
	40.28	-65.26	76.56	0.00	0.0697	12.70	558.7	286.66	0.0178	93.4	1.682	2.11	-17.08	1.77
	41.28	-65.72	76.61	0.00	0.0700	12.71	559.2	286.10	0.0155	88.1	1.586	1.98	-17.80	1.77
	42.28	-65.72	76.58	0.00	0.0701	12.72	559.7	286.48	0.0148	86.3	1.554	1.94	-18.04	1.77
	43.27	-65.72	76.58	0.00	0.0707	12.87	566.3	289.81	0.0123	67.1	1.208	1.51	-20.97	1.77
	44.28	-65.72	76.58	0.00	0.0701	12.70	559.0	286.08	0.0154	91.5	1.646	2.06	-17.36	1.77
	45.27	-64.82	76.61	0.00	0.0699	12.65	556.7	286.06	0.0163	96.9	1.745	2.19	-16.61	1.77
	46.28	-65.26	76.58	0.00	0.0700	12.70	558.8	286.62	0.0158	89.0	1.602	2.01	-17.66	1.77
	47.27	-64.82	76.58	0.00	0.0700	12.67	557.6	286.64	0.0156	92.4	1.664	2.09	-17.18	1.77
	48.28	-64.82	76.61	0.00	0.0699	12.80	563.3	289.45	0.0161	76.3	1.373	1.72	-19.44	1.77
	49.36	-65.72	76.61	0.00	0.0699	12.87	566.1	289.66	0.0161	68.8	1.239	1.55	-20.68	1.77
	50.28	-65.71	76.58	0.00	0.0696	12.77	561.8	287.53	0.0179	82.6	1.486	1.86	-18.56	1.77
	51.36	-65.72	76.61	0.00	0.0691	12.62	555.3	284.12	0.0203	100.4	1.807	2.26	-16.25	1.77
	52.28	-65.72	76.56	0.00	0.0704	12.74	560.5	286.98	0.0139	84.8	1.526	1.91	-18.25	1.77
	53.36	-65.72	76.58	0.00	0.0705	12.84	564.9	289.09	0.0128	69.3	1.247	1.56	-20.60	1.77
	54.28	-65.26	76.61	0.00	0.0704	12.78	562.5	288.43	0.0141	78.0	1.404	1.76	-19.20	1.77
	55.28	-65.72	76.61	0.00	0.0702	12.72	559.7	286.38	0.0152	90.7	1.632	2.04	-17.46	1.77
	56.28	-65.72	76.58	0.00	0.0701	12.84	565.0	289.18	0.0151	73.5	1.323	1.66	-19.92	1.77
	57.28	-65.26	76.61	0.00	0.0700	12.71	559.4	286.82	0.0164	89.9	1.617	2.03	-17.54	1.77
	58.28	-65.26	76.61	0.00	0.0699	12.71	559.2	286.72	0.0163	93.5	1.682	2.11	-17.07	1.77
	59.28	-65.72	76.61	0.00	0.0704	12.86	566.0	289.59	0.0146	73.2	1.317	1.65	-19.97	1.77
	60.28	-65.72	76.61	0.00	0.0709	12.89	567.1	290.15	0.0123	70.5	1.268	1.59	-20.41	1.77
	61.28	-65.72	76.58	0.00	0.0701	13.73	604.3	309.26	0.0157	79.1	1.424	1.78	-19.06	1.77
	62.28	-65.72	76.64	0.00	0.0702	13.16	579.0	296.11	0.0158	75.6	1.361	1.70	-19.59	1.77
	63.28	-65.72	76.61	0.00	0.0701	12.73	560.2	286.63	0.0162	95.1	1.712	2.14	-16.89	1.77
	64.28	-65.72	76.61	0.00	0.0707	12.79	562.8	287.95	0.0125	81.8	1.472	1.84	-18.67	1.77
	65.28	-65.72	76.58	0.00	0.0707	12.75	561.0	287.14	0.0131	88.9	1.601	2.00	-17.69	1.77
	66.28	-66.19	76.58	0.00	0.0706	12.81	563.5	287.72	0.0140	80.9	1.455	1.82	-18.83	1.77
	67.28	-65.26	76.58	0.00	0.0707	12.85	565.2	289.91	0.0143	83.3	1.499	1.88	-18.43	1.76
	68.28	-65.26	76.61	0.00	0.0707	12.89	567.0	290.75	0.0126	68.6	1.235	1.55	-20.69	1.77
	69.28	-65.72	76.58	0.00	0.0702	12.79	562.8	288.05	0.0152	83.0	1.493	1.87	-18.51	1.76
	70.28	-65.72	76.58	0.00	0.0732	12.82	564.2	288.77	0.0157	78.6	1.415	1.77	-19.13	1.77
	71.28	-65.26	76.61	0.00	0.0708	12.80	563.3	288.85	0.0128	80.5	1.449	1.82	-18.83	1.77
	72.28	-65.26	76.58	0.00	0.0706	12.79	562.6	288.58	0.0132	83.8	1.508	1.89	-18.36	1.76
	73.28	-65.72	76.58	0.00	0.0706	12.82	564.1	288.69	0.0134	75.5	1.359	1.70	-19.61	1.76
	74.27	-65.72	76.61	0.00	0.0703	12.73	560.1	286.55	0.0153	92.1	1.657	2.07	-17.28	1.76
	75.28	-65.72	76.58	0.00	0.0707	12.81	563.7	288.52	0.0141	84.6	1.522	1.90	-18.28	1.76
	76.27	-65.72	76.61	0.00	0.0704	12.84	564.8	288.97	0.0145	85.5	1.539	1.92	-18.16	1.77
	77.28	-65.26	76.58	0.00	0.0706	12.88	566.6	290.64	0.0135	70.4	1.268	1.59	-20.39	1.76
	78.30	-65.72	76.61	0.00	0.0708	12.88	566.7	289.93	0.0126	71.9	1.294	1.62	-20.18	1.76
	79.28	-65.72	76.58	0.00	0.0708	12.94	569.2	291.33	0.0131	72.1	1.297	1.62	-20.15	1.76
	80.36	-65.26	76.58	0.00	0.0703	12.81	563.7	289.15	0.0139	76.2	1.372	1.72	-19.47	1.76
	81.28	-64.82	76.56	0.00	0.0707	13.34	586.8	301.74	0.0164	91.3	1.644	2.07	-17.32	1.76
	82.28	-65.26	76.58	0.00	0.0705	12.71	559.1	286.77	0.0154	93.6	1.685	2.11	-17.06	1.76
	83.28	-65.72	76.58	0.00	0.0730	13.39	589.4	301.63	0.0172	97.6	1.757	2.20	-16.58	1.76
	84.28	-65.72	76.58	0.00	0.0697	12.71	559.0	286.11	0.0183	102.8	1.850	2.31	-15.97	1.76
	85.28	-65.26	76.64	0.00	0.0749	13.04	573.9	294.19	0.0173	99.2	1.786	2.24	-16.36	1.76
	86.28	-65.72	76.58	0.00	0.0699	12.70	558.6	285.91	0.0166	93.3	1.679	2.10	-17.12	1.76
	87.28	-65.72	76.61	0.00	0.0704	12.74	560.4	286.70	0.0145	95.9	1.727	2.16	-16.79	1.76
	88.28	-65.72	76.61	0.00	0.0703	12.83	564.6	288.85	0.0142	76.6	1.379	1.72	-19.44	1.76
	89.28	-65.72	76.58	0.00	0.0758	12.82	564.0	288.65	0.0171	91.6	1.649	2.06	-17.34	1.76
	90.28	-65.72	76.61	0.00	0.0700	12.68	558.0	285.49	0.0173	101.0	1.818	2.27	-16.18	1.76
	91.28	-65.72	76.61	0.00	0.0732	13.29	584.5	299.07	0.0163	95.2	1.714	2.14	-16.88	1.76
	92.28	-65.26	76.58	0.00	0.0700	12.84	565.2	289.88	0.0164	96.6	1.738	2.18	-16.69	1.76
	93.28	-66.19	76.56	0.00	0.0702	12.75	561.2	286.67	0.0156	88.7	1.597	1.99	-17.74	1.76
	94.28	-65.72	76.58	0.00	0.0702	12.70	558.6	285.89	0.0167	94.0	1.692	2.12	-17.03	1.76
	95.28	-65.26	76.61	0.00	0.0704	12.71	559.3	286.78	0.0140	95.2	1.713	2.15	-16.86	1.76
	96.28	-65.72	76.61	0.00	0.0708	12.89	567.4	290.28	0.0121	68.2	1.228	1.54	-20.78	1.76
	97.28	-65.72	76.58	0.00	0.0706	12.84	564.9	289.09	0.0135	74.7	1.344	1.68	-19.73	1.76
	98.28	-65.72	76.61	0.00	0.0715	12.97	570.8	292.05	0.0135	80.1	1.441	1.80	-18.92	1.76
	99.28	-65.73	76.58	0.00	0.0748	12.95	569.6	291.51	0.0133	73.8	1.329	1.66	-19.87	1.76
	100.28	-65.72	76.61	0.00	0.0707	12.86	565.9	289.53	0.0135	74.4	1.339	1.67	-19.78	1.76
	101.28	-65.72	76.58	0.00	0.0706	12.89	567.2	290.30	0.0149	84.3	1.518	1.90	-18.32	1.76
	102.28	-65.26	76.61	0.00	0.0704	12.78	562.2	288.28	0.0144	86.0	1.548	1.94	-18.06	1.76
	103.28	-65.72	76.58	0.00	0.0702	12.74	560.6	286.94	0.0163	90.3	1.625	2.03	-17.51	1.76
	104.28	-65.73	76.61	0.00	0.0710	12.83	564.6	288.86	0.0165	102.2	1.840	2.30	-16.03	1.76
