Jun 12 2020 at 11:06:39
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.64	-65.72	76.56	0.00	0.0704	12.79	562.7	288.07	0.0205	122.6	2.207	2.76	-13.83	1.75
	1.64	-65.72	76.58	0.00	0.0704	12.79	562.8	288.05	0.0204	122.6	2.207	2.76	-13.83	1.75
	2.64	-65.72	76.58	0.00	0.0703	12.78	562.5	287.90	0.0205	122.2	2.199	2.75	-13.87	1.75
	3.64	-65.72	76.58	0.00	0.0703	12.75	560.9	287.07	0.0210	128.3	2.309	2.89	-13.27	1.75
	4.64	-65.26	76.56	0.00	0.0703	12.76	561.4	288.04	0.0208	128.9	2.320	2.91	-13.19	1.75
	5.64	-65.72	76.64	0.00	0.0702	12.74	560.6	286.71	0.0220	133.8	2.409	3.01	-12.75	1.75
	6.64	-65.72	76.61	0.00	0.0702	12.73	560.1	286.58	0.0225	136.4	2.455	3.07	-12.52	1.75
	7.64	-65.72	76.56	0.00	0.0701	12.70	558.9	286.14	0.0229	140.7	2.532	3.17	-12.13	1.75
	8.64	-65.72	76.61	0.00	0.0700	12.71	559.1	286.04	0.0232	139.4	2.509	3.14	-12.25	1.75
	9.72	-65.71	76.61	0.00	0.0699	12.71	559.1	286.05	0.0237	138.9	2.499	3.13	-12.29	1.75
	10.64	-64.82	76.58	0.00	0.0699	12.68	557.8	286.74	0.0236	145.0	2.610	3.28	-11.70	1.75
	11.66	-65.72	76.58	0.00	0.0700	12.68	558.0	285.57	0.0238	145.1	2.611	3.27	-11.75	1.75
	12.64	-65.72	76.58	0.00	0.0700	12.68	557.9	285.50	0.0233	145.2	2.614	3.27	-11.74	1.75
	13.66	-65.72	76.56	0.00	0.0699	12.68	558.0	285.67	0.0236	145.8	2.625	3.29	-11.69	1.75
	14.64	-65.72	76.58	0.00	0.0699	12.67	557.5	285.35	0.0236	143.4	2.582	3.23	-11.89	1.75
	15.66	-65.72	76.58	0.00	0.0699	12.68	557.7	285.45	0.0238	145.6	2.620	3.28	-11.71	1.75
	16.64	-65.72	76.58	0.00	0.0699	12.68	557.8	285.49	0.0236	147.6	2.656	3.32	-11.54	1.75
	17.66	-66.20	76.61	0.00	0.0700	12.68	558.1	284.86	0.0242	149.9	2.698	3.37	-11.37	1.75
	18.64	-65.72	76.58	0.00	0.0698	12.65	556.8	284.96	0.0246	150.9	2.717	3.40	-11.26	1.75
	19.66	-66.19	76.64	0.00	0.0698	12.64	556.0	283.72	0.0256	160.4	2.887	3.60	-10.52	1.75
	20.64	-65.72	76.58	0.00	0.0697	12.66	557.1	285.13	0.0260	154.8	2.786	3.49	-10.94	1.75
	21.66	-65.72	76.58	0.00	0.0699	12.64	556.0	284.55	0.0251	162.5	2.926	3.66	-10.33	1.75
	22.64	-65.72	76.58	0.00	0.0699	12.66	557.0	285.09	0.0257	159.1	2.863	3.58	-10.60	1.75
	23.66	-65.72	76.58	0.00	0.0698	12.65	556.6	284.89	0.0258	161.7	2.911	3.64	-10.39	1.75
	24.64	-65.72	76.61	0.00	0.0698	12.61	554.9	283.93	0.0259	171.2	3.082	3.85	-9.67	1.75
	25.64	-65.72	76.58	0.00	0.0699	12.66	556.9	285.04	0.0259	163.1	2.935	3.67	-10.28	1.75
	26.64	-65.73	76.58	0.00	0.0698	12.65	556.5	284.81	0.0262	165.4	2.977	3.72	-10.11	1.75
	27.64	-65.26	76.61	0.00	0.0698	12.63	555.8	284.99	0.0263	168.3	3.029	3.80	-9.86	1.76
	28.64	-65.72	76.58	0.00	0.0697	12.63	555.8	284.48	0.0271	169.8	3.056	3.82	-9.78	1.76
	29.64	-65.26	76.58	0.00	0.0697	12.63	555.6	284.97	0.0272	173.4	3.121	3.91	-9.48	1.75
	30.64	-65.72	76.58	0.00	0.0697	12.63	555.6	284.36	0.0273	171.5	3.087	3.86	-9.65	1.75
	31.64	-65.72	76.58	0.00	0.0696	12.60	554.3	283.69	0.0280	179.2	3.226	4.04	-9.09	1.75
	32.64	-65.72	76.58	0.00	0.0696	12.61	554.8	283.93	0.0279	176.8	3.183	3.98	-9.26	1.76
	33.64	-65.72	76.61	0.00	0.0697	12.60	554.6	283.73	0.0285	181.9	3.275	4.10	-8.89	1.76
	34.64	-65.26	76.58	0.00	0.0696	12.57	553.1	283.68	0.0287	191.0	3.438	4.31	-8.25	1.75
	35.64	-65.72	76.64	0.00	0.0696	12.60	554.3	283.51	0.0285	182.7	3.289	4.11	-8.84	1.75
	36.72	-65.72	76.58	0.00	0.0696	12.59	554.1	283.59	0.0289	184.9	3.329	4.16	-8.69	1.75
	37.64	-65.72	76.61	0.00	0.0696	12.57	553.1	282.97	0.0293	191.8	3.452	4.32	-8.22	1.75
	38.66	-65.72	76.64	0.00	0.0696	12.60	554.5	283.61	0.0297	184.6	3.322	4.15	-8.71	1.76
	39.64	-65.72	76.58	0.00	0.0695	12.58	553.4	283.23	0.0295	191.1	3.439	4.30	-8.27	1.76
	40.66	-65.72	76.58	0.00	0.0696	12.56	552.7	282.87	0.0295	196.8	3.542	4.43	-7.89	1.76
	41.64	-65.26	76.58	0.00	0.0695	12.59	553.8	284.08	0.0297	191.9	3.453	4.33	-8.19	1.76
	42.66	-65.26	76.64	0.00	0.0695	12.57	553.2	283.58	0.0302	194.4	3.500	4.39	-8.01	1.75
	43.64	-65.72	76.61	0.00	0.0695	12.58	553.5	283.19	0.0304	193.9	3.489	4.36	-8.08	1.75
	44.66	-65.72	76.64	0.00	0.0695	12.56	552.9	282.76	0.0305	198.2	3.568	4.46	-7.79	1.76
	45.64	-65.72	76.64	0.00	0.0694	12.56	552.8	282.75	0.0304	197.2	3.550	4.44	-7.86	1.76
	46.66	-65.72	76.58	0.00	0.0694	12.55	552.2	282.59	0.0308	199.3	3.587	4.49	-7.73	1.76
	47.64	-65.72	76.58	0.00	0.0694	12.56	552.6	282.84	0.0311	200.6	3.611	4.52	-7.64	1.76
	48.66	-65.72	76.58	0.00	0.0694	12.56	552.8	282.94	0.0310	201.1	3.620	4.53	-7.61	1.76
	49.64	-65.72	76.61	0.00	0.0694	12.55	552.1	282.49	0.0314	200.6	3.611	4.52	-7.64	1.76
	50.66	-65.72	76.58	0.00	0.0694	12.55	552.1	282.57	0.0316	206.0	3.709	4.64	-7.29	1.76
	51.64	-65.26	76.56	0.00	0.0693	12.54	551.7	283.07	0.0317	209.7	3.774	4.73	-7.04	1.76
	52.66	-65.72	76.64	0.00	0.0693	12.52	550.9	281.75	0.0326	213.6	3.845	4.81	-6.83	1.76
	53.64	-65.72	76.58	0.00	0.0693	12.52	551.0	282.03	0.0323	212.6	3.827	4.79	-6.89	1.76
	54.64	-65.72	76.58	0.00	0.0693	12.53	551.4	282.22	0.0325	212.5	3.825	4.79	-6.89	1.76
	55.64	-65.26	76.58	0.00	0.0692	12.52	551.1	282.66	0.0336	215.7	3.883	4.87	-6.67	1.76
