Jun 12 2020 at 11:09:28
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.12	-65.72	76.58	0.00	0.0695	12.57	552.9	282.96	0.0338	222.5	4.005	5.01	-6.30	1.78
	1.06	-65.26	76.58	0.00	0.0695	12.57	553.0	283.67	0.0338	223.0	4.013	5.03	-6.24	1.78
	2.06	-65.72	76.64	0.00	0.0694	12.57	552.9	282.77	0.0325	217.8	3.920	4.90	-6.58	1.78
	3.06	-65.72	76.58	0.00	0.0694	12.57	552.9	283.00	0.0327	214.8	3.867	4.84	-6.75	1.78
	4.06	-65.26	76.56	0.00	0.0694	12.56	552.7	283.60	0.0331	218.3	3.930	4.93	-6.51	1.78
	5.06	-66.19	76.58	0.00	0.0694	12.56	552.8	282.27	0.0343	226.1	4.069	5.08	-6.12	1.78
	6.06	-65.72	76.58	0.00	0.0694	12.56	552.6	282.80	0.0334	223.1	4.016	5.02	-6.26	1.78
	7.05	-65.72	76.61	0.00	0.0694	12.55	552.2	282.54	0.0337	226.3	4.073	5.09	-6.08	1.78
	8.06	-65.72	76.58	0.00	0.0694	12.55	552.2	282.64	0.0334	220.2	3.964	4.96	-6.43	1.78
	9.05	-65.72	76.64	0.00	0.0694	12.55	552.1	282.37	0.0335	221.9	3.994	4.99	-6.33	1.78
	10.06	-65.71	76.61	0.00	0.0694	12.55	552.3	282.59	0.0344	230.4	4.146	5.19	-5.84	1.78
	11.05	-65.72	76.56	0.00	0.0694	12.56	552.5	282.85	0.0343	227.0	4.087	5.11	-6.03	1.78
	12.06	-65.72	76.58	0.00	0.0694	12.55	552.3	282.65	0.0344	231.1	4.159	5.20	-5.80	1.78
	13.05	-65.72	76.56	0.00	0.0694	12.55	552.4	282.81	0.0348	229.6	4.133	5.17	-5.88	1.78
	14.06	-65.26	76.58	0.00	0.0693	12.56	552.6	283.42	0.0348	232.1	4.178	5.24	-5.71	1.78
	15.05	-65.72	76.58	0.00	0.0694	12.55	552.3	282.67	0.0344	230.1	4.142	5.18	-5.86	1.78
	16.06	-65.72	76.58	0.00	0.0694	12.55	552.1	282.57	0.0353	231.4	4.165	5.21	-5.78	1.78
	17.05	-65.26	76.56	0.00	0.0694	12.54	551.9	283.20	0.0346	229.3	4.128	5.18	-5.87	1.78
	18.06	-65.26	76.58	0.00	0.0694	12.54	552.0	283.12	0.0349	232.7	4.189	5.25	-5.68	1.78
	19.05	-65.26	76.58	0.00	0.0694	12.54	551.9	283.11	0.0348	229.8	4.136	5.19	-5.84	1.78
	20.06	-65.72	76.58	0.00	0.0694	12.54	551.9	282.46	0.0352	234.8	4.227	5.29	-5.59	1.78
	21.12	-65.72	76.58	0.00	0.0694	12.56	552.4	282.73	0.0352	235.5	4.239	5.30	-5.55	1.78
	22.06	-65.73	76.53	0.00	0.0693	12.55	552.0	282.69	0.0350	238.3	4.289	5.37	-5.40	1.78
	23.12	-65.72	76.56	0.00	0.0694	12.54	552.0	282.60	0.0354	236.8	4.263	5.34	-5.48	1.78
	24.06	-65.72	76.58	0.00	0.0693	12.54	551.7	282.37	0.0355	236.0	4.248	5.31	-5.52	1.78
	25.12	-65.73	76.56	0.00	0.0694	12.55	552.2	282.73	0.0360	242.6	4.367	5.46	-5.16	1.78
	26.06	-65.72	76.58	0.00	0.0694	12.55	552.3	282.66	0.0355	237.7	4.278	5.35	-5.43	1.78
	27.12	-65.26	76.58	0.00	0.0693	12.55	552.2	283.22	0.0360	241.5	4.347	5.45	-5.19	1.78
	28.06	-65.72	76.58	0.00	0.0694	12.55	552.0	282.52	0.0360	243.8	4.388	5.49	-5.10	1.78
	29.06	-65.72	76.58	0.00	0.0694	12.55	552.4	282.71	0.0361	240.6	4.330	5.42	-5.27	1.78
	30.06	-65.72	76.58	0.00	0.0694	12.55	552.0	282.53	0.0361	241.9	4.353	5.45	-5.20	1.78
	31.06	-65.72	76.56	0.00	0.0694	12.54	551.9	282.54	0.0360	241.4	4.346	5.44	-5.22	1.78
	32.06	-65.26	76.56	0.00	0.0693	12.55	552.0	283.26	0.0366	246.1	4.430	5.56	-4.94	1.79
	33.06	-65.72	76.56	0.00	0.0694	12.55	552.2	282.74	0.0368	249.3	4.487	5.62	-4.80	1.78
	34.06	-65.72	76.58	0.00	0.0694	12.54	551.9	282.45	0.0367	246.5	4.437	5.55	-4.95	1.78
	35.06	-66.19	76.58	0.00	0.0694	12.55	552.0	281.89	0.0371	247.6	4.457	5.56	-4.92	1.78
	36.06	-65.72	76.58	0.00	0.0694	12.54	551.8	282.43	0.0372	246.9	4.443	5.56	-4.93	1.78
	37.06	-65.72	76.66	0.00	0.0694	12.55	552.3	282.36	0.0371	252.8	4.550	5.69	-4.62	1.79
	38.05	-66.20	76.58	0.00	0.0694	12.56	552.7	282.21	0.0372	253.8	4.569	5.70	-4.59	1.79
	39.06	-65.72	76.56	0.00	0.0694	12.55	552.2	282.70	0.0378	254.8	4.586	5.74	-4.51	1.79
	40.05	-65.72	76.58	0.00	0.0694	12.55	552.1	282.54	0.0374	253.0	4.555	5.70	-4.60	1.79
	41.06	-65.72	76.58	0.00	0.0693	12.55	552.1	282.57	0.0370	253.1	4.557	5.70	-4.60	1.79
	42.05	-65.26	76.58	0.00	0.0694	12.55	552.0	283.14	0.0371	249.6	4.493	5.63	-4.75	1.79
	43.06	-65.26	76.58	0.00	0.0694	12.55	552.3	283.27	0.0371	250.9	4.516	5.66	-4.69	1.79
	44.05	-65.72	76.58	0.00	0.0694	12.56	552.5	282.77	0.0381	259.4	4.668	5.84	-4.28	1.79
	45.06	-65.72	76.61	0.00	0.0695	12.56	552.6	282.70	0.0378	257.7	4.639	5.80	-4.36	1.79
	46.05	-65.72	76.61	0.00	0.0694	12.55	552.2	282.51	0.0375	255.2	4.593	5.74	-4.49	1.79
	47.06	-65.72	76.58	0.00	0.0694	12.55	552.1	282.57	0.0377	255.8	4.605	5.76	-4.46	1.79
	48.05	-65.72	76.58	0.00	0.0694	12.57	553.0	283.03	0.0375	255.8	4.605	5.76	-4.46	1.79
	49.06	-65.72	76.56	0.00	0.0694	12.55	552.4	282.80	0.0373	254.0	4.572	5.72	-4.55	1.79
	50.06	-65.72	76.58	0.00	0.0694	12.56	552.8	282.91	0.0372	252.6	4.547	5.69	-4.63	1.79
	51.06	-65.72	76.61	0.00	0.0694	12.55	552.3	282.60	0.0376	257.3	4.632	5.79	-4.38	1.79
	52.12	-65.72	76.61	0.00	0.0694	12.57	553.2	283.01	0.0385	262.7	4.729	5.91	-4.11	1.79
	53.06	-65.72	76.58	0.00	0.0694	12.55	552.4	282.73	0.0379	258.0	4.644	5.81	-4.35	1.79
	54.06	-65.72	76.56	0.00	0.0695	12.56	552.8	282.99	0.0380	261.5	4.707	5.89	-4.17	1.79
	55.06	-65.72	76.61	0.00	0.0694	12.55	552.4	282.62	0.0383	262.0	4.716	5.90	-4.14	1.79
	56.06	-66.19	76.61	0.00	0.0694	12.56	552.5	282.04	0.0378	257.6	4.637	5.79	-4.40	1.79
	57.06	-65.72	76.56	0.00	0.0694	12.54	551.9	282.58	0.0379	254.6	4.583	5.74	-4.52	1.79
	58.06	-65.72	76.58	0.00	0.0694	12.55	552.3	282.68	0.0381	256.0	4.608	5.77	-4.45	1.79
	59.06	-65.72	76.56	0.00	0.0695	12.56	552.7	282.97	0.0382	258.9	4.660	5.83	-4.30	1.79
	60.06	-65.72	76.56	0.00	0.0694	12.55	552.4	282.81	0.0376	255.8	4.604	5.76	-4.46	1.79
	61.06	-65.72	76.56	0.00	0.0695	12.55	552.4	282.81	0.0380	257.7	4.638	5.80	-4.36	1.79
	62.06	-65.72	76.58	0.00	0.0694	12.56	552.4	282.74	0.0379	260.1	4.681	5.86	-4.24	1.79
	63.06	-65.72	76.61	0.00	0.0694	12.56	552.7	282.78	0.0369	255.4	4.597	5.75	-4.48	1.79
	64.06	-65.72	76.61	0.00	0.0694	12.56	552.6	282.71	0.0380	263.1	4.735	5.92	-4.09	1.79
	65.06	-65.26	76.58	0.00	0.0694	12.56	552.6	283.46	0.0380	256.4	4.615	5.79	-4.40	1.79
