Jun 17 2020 at 20:59:49
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.19	-65.72	75.75	0.00	0.0727	13.39	589.2	304.88	0.0172	102.1	1.838	2.33	-16.04	1.42
	1.11	-65.26	75.75	0.00	0.0727	13.39	589.1	305.48	0.0172	101.1	1.821	2.31	-16.13	1.42
	2.11	-65.72	75.75	0.00	0.0727	13.39	589.3	304.90	0.0172	101.7	1.830	2.31	-16.10	1.42
	3.11	-65.72	75.72	0.00	0.0728	13.40	589.4	305.07	0.0173	101.8	1.832	2.32	-16.09	1.42
	4.11	-66.19	75.75	0.00	0.0728	13.37	588.5	303.81	0.0171	100.8	1.815	2.29	-16.22	1.42
	5.11	-65.72	75.70	0.00	0.0727	13.38	588.5	304.73	0.0172	101.4	1.826	2.31	-16.12	1.42
	6.11	-65.72	75.75	0.00	0.0728	13.39	589.4	304.96	0.0173	101.8	1.832	2.32	-16.08	1.42
	7.11	-64.82	75.75	0.00	0.0728	13.40	589.7	306.45	0.0174	102.0	1.836	2.33	-16.00	1.42
	8.11	-65.72	75.75	0.00	0.0729	13.42	590.5	305.54	0.0173	102.9	1.852	2.34	-15.95	1.42
	9.11	-65.72	75.75	0.00	0.0728	13.40	589.7	305.14	0.0173	102.1	1.839	2.33	-16.04	1.42
	10.11	-65.72	75.75	0.00	0.0729	13.42	590.3	305.44	0.0175	102.5	1.845	2.33	-15.99	1.42
	11.11	-65.72	75.75	0.00	0.0727	13.40	589.6	305.06	0.0172	102.2	1.840	2.33	-16.03	1.42
	12.11	-65.72	75.75	0.00	0.0729	13.41	590.2	305.40	0.0174	102.6	1.846	2.33	-15.99	1.42
	13.11	-66.20	75.72	0.00	0.0730	13.43	591.1	305.25	0.0175	103.1	1.857	2.34	-15.95	1.42
	14.11	-65.72	75.75	0.00	0.0727	13.44	591.5	306.05	0.0172	103.5	1.863	2.36	-15.88	1.42
	15.09	-65.72	75.75	0.00	0.0727	13.38	588.8	304.64	0.0172	101.0	1.817	2.30	-16.18	1.42
	16.11	-65.72	75.75	0.00	0.0728	13.37	588.4	304.48	0.0173	101.3	1.823	2.31	-16.14	1.42
	17.19	-65.26	75.75	0.00	0.0727	13.39	589.3	305.61	0.0172	102.1	1.837	2.33	-16.02	1.42
	18.11	-65.73	75.75	0.00	0.0729	13.42	590.7	305.61	0.0175	103.0	1.854	2.35	-15.94	1.42
	19.19	-65.72	75.75	0.00	0.0727	13.61	599.0	309.92	0.0172	102.4	1.843	2.33	-16.01	1.42
	20.11	-65.26	75.72	0.00	0.0732	13.39	589.3	305.70	0.0174	101.9	1.835	2.33	-16.04	1.42
	21.11	-65.72	75.75	0.00	0.0734	13.60	598.4	309.62	0.0175	103.3	1.860	2.35	-15.90	1.42
	22.11	-65.26	75.75	0.00	0.0729	13.81	607.5	315.04	0.0174	103.2	1.857	2.35	-15.89	1.42
	23.11	-65.72	75.72	0.00	0.0730	13.42	590.4	305.60	0.0176	103.1	1.857	2.35	-15.92	1.42
	24.11	-65.72	75.75	0.00	0.0727	13.43	591.1	305.83	0.0172	103.5	1.864	2.36	-15.88	1.42
	25.11	-65.26	75.75	0.00	0.0728	13.40	589.4	305.65	0.0172	101.9	1.834	2.32	-16.04	1.42
	26.11	-65.72	75.75	0.00	0.0728	13.41	589.9	305.24	0.0173	102.5	1.845	2.33	-16.00	1.42
	27.11	-65.72	75.75	0.00	0.0728	13.40	589.5	305.01	0.0175	102.6	1.846	2.34	-15.99	1.42
	28.11	-65.72	75.75	0.00	0.0733	13.52	595.0	307.87	0.0173	102.1	1.838	2.32	-16.04	1.42
	29.11	-65.72	75.75	0.00	0.0730	13.43	590.9	305.74	0.0175	103.3	1.860	2.35	-15.90	1.42
	30.11	-65.26	75.75	0.00	0.0728	13.41	590.1	306.03	0.0173	101.9	1.835	2.33	-16.04	1.42
	31.11	-65.26	75.75	0.00	0.0733	13.50	594.0	308.01	0.0177	106.0	1.908	2.42	-15.57	1.42
	32.11	-65.72	75.75	0.00	0.0733	13.45	591.8	306.21	0.0174	103.3	1.859	2.35	-15.91	1.42
	33.11	-65.72	75.72	0.00	0.0731	13.47	592.6	306.75	0.0175	103.4	1.861	2.36	-15.89	1.42
	34.11	-65.71	75.75	0.00	0.0738	13.51	594.3	307.51	0.0175	103.3	1.860	2.35	-15.90	1.42
	35.11	-65.26	75.75	0.00	0.0738	13.66	601.1	311.69	0.0174	102.7	1.848	2.34	-15.95	1.42
	36.19	-65.72	75.75	0.00	0.0732	13.56	596.6	308.70	0.0175	103.3	1.859	2.35	-15.91	1.42
	37.11	-65.72	75.75	0.00	0.0732	13.50	594.0	307.34	0.0174	102.8	1.850	2.34	-15.96	1.42
	38.11	-65.72	75.75	0.00	0.0732	13.50	593.8	307.26	0.0176	104.3	1.878	2.38	-15.78	1.42
	39.11	-65.72	75.78	0.00	0.0732	13.48	593.0	306.74	0.0176	104.4	1.879	2.38	-15.78	1.42
	40.11	-65.26	75.75	0.00	0.0732	13.50	593.8	307.94	0.0176	104.4	1.879	2.38	-15.75	1.42
	41.11	-65.72	75.75	0.00	0.0753	14.66	645.2	333.86	0.0176	104.5	1.881	2.38	-15.76	1.42
	42.11	-65.72	75.75	0.00	0.0738	13.57	597.0	308.93	0.0176	103.7	1.866	2.36	-15.86	1.42
	43.11	-65.72	75.72	0.00	0.0733	13.51	594.5	307.74	0.0174	102.8	1.851	2.34	-15.96	1.42
	44.11	-65.26	75.72	0.00	0.0733	13.51	594.6	308.46	0.0176	103.6	1.865	2.36	-15.84	1.42
	45.11	-65.26	75.75	0.00	0.0732	13.47	592.7	307.35	0.0177	105.7	1.902	2.41	-15.61	1.42
	46.11	-65.72	75.70	0.00	0.0735	13.50	594.1	307.61	0.0175	102.9	1.852	2.34	-15.95	1.42
	47.11	-65.73	75.75	0.00	0.0730	13.46	592.2	306.43	0.0174	102.9	1.852	2.34	-15.95	1.42
	48.11	-65.26	75.75	0.00	0.0732	13.48	593.3	307.67	0.0178	104.8	1.887	2.39	-15.70	1.42
	49.11	-65.26	75.75	0.00	0.0733	13.51	594.5	308.30	0.0178	104.8	1.886	2.39	-15.71	1.42
	50.11	-65.72	75.75	0.00	0.0732	13.51	594.3	307.50	0.0176	104.2	1.876	2.37	-15.80	1.42
	51.11	-65.72	75.75	0.00	0.0735	13.51	594.5	307.62	0.0177	103.3	1.860	2.35	-15.90	1.42
	52.11	-65.72	75.75	0.00	0.0738	13.57	597.1	308.97	0.0177	104.3	1.877	2.37	-15.79	1.42
	53.11	-65.72	75.75	0.00	0.0735	13.51	594.3	307.52	0.0175	103.5	1.864	2.36	-15.88	1.42
	54.11	-65.72	75.75	0.00	0.0734	13.57	597.2	309.02	0.0175	103.3	1.860	2.35	-15.90	1.42
	55.19	-65.72	75.75	0.00	0.0733	13.48	593.0	306.84	0.0177	104.3	1.878	2.38	-15.79	1.42
	56.11	-65.72	75.75	0.00	0.0731	13.47	592.7	306.68	0.0177	103.6	1.865	2.36	-15.87	1.42
	57.11	-65.72	75.75	0.00	0.0730	13.47	592.6	306.63	0.0176	104.1	1.873	2.37	-15.81	1.42
	58.11	-64.82	75.72	0.00	0.0731	13.45	591.9	307.68	0.0175	104.0	1.872	2.38	-15.77	1.42
	59.12	-65.72	75.70	0.00	0.0729	13.46	592.4	306.76	0.0178	106.2	1.912	2.42	-15.57	1.42
	60.11	-65.26	75.75	0.00	0.0730	13.43	590.9	306.43	0.0176	103.7	1.867	2.37	-15.83	1.42
	61.11	-65.72	75.75	0.00	0.0730	13.45	591.9	306.25	0.0178	105.2	1.894	2.40	-15.69	1.42
	62.11	-65.72	75.75	0.00	0.0729	13.43	591.1	305.84	0.0176	104.2	1.875	2.37	-15.80	1.42
	63.11	-65.72	75.75	0.00	0.0728	13.43	590.7	305.65	0.0174	103.7	1.867	2.36	-15.86	1.42
	64.11	-65.72	75.72	0.00	0.0729	13.41	590.2	305.48	0.0176	103.2	1.858	2.35	-15.91	1.42
	65.11	-65.72	75.75	0.00	0.0729	13.43	591.0	305.80	0.0176	104.6	1.882	2.38	-15.76	1.42
	66.11	-65.72	75.75	0.00	0.0730	13.44	591.5	306.08	0.0177	104.8	1.886	2.39	-15.73	1.42
	67.11	-65.72	75.75	0.00	0.0731	13.45	592.0	306.30	0.0179	105.6	1.901	2.40	-15.64	1.42
	68.11	-65.72	75.78	0.00	0.0730	13.46	592.1	306.26	0.0179	107.2	1.929	2.44	-15.46	1.42
	69.11	-66.19	75.67	0.00	0.0730	13.44	591.4	305.63	0.0177	104.6	1.882	2.38	-15.79	1.42
	70.11	-65.26	75.75	0.00	0.0729	13.43	591.1	306.54	0.0176	104.1	1.874	2.37	-15.79	1.42
	71.11	-65.25	75.75	0.00	0.0730	13.46	592.4	307.21	0.0180	106.7	1.921	2.44	-15.49	1.42
	72.19	-65.26	75.72	0.00	0.0730	13.44	591.2	306.71	0.0177	104.9	1.888	2.39	-15.69	1.42
	73.11	-65.72	75.75	0.00	0.0730	13.44	591.3	305.95	0.0177	104.8	1.886	2.39	-15.73	1.42
	74.12	-65.72	75.70	0.00	0.0729	13.44	591.2	306.11	0.0176	105.1	1.892	2.39	-15.70	1.42
	75.11	-65.72	75.75	0.00	0.0730	13.43	590.7	305.66	0.0179	104.5	1.880	2.38	-15.77	1.42
	76.12	-65.72	75.75	0.00	0.0729	13.42	590.3	305.46	0.0175	103.8	1.869	2.36	-15.84	1.42
	77.11	-65.72	75.75	0.00	0.0728	13.42	590.4	305.49	0.0175	103.5	1.863	2.36	-15.88	1.42
	78.11	-65.71	75.75	0.00	0.0728	13.41	590.1	305.33	0.0174	102.4	1.843	2.33	-16.01	1.42
	79.11	-65.72	75.75	0.00	0.0730	13.43	591.0	305.81	0.0174	102.6	1.846	2.34	-15.99	1.42
	80.11	-65.72	75.78	0.00	0.0729	13.43	591.0	305.69	0.0175	103.6	1.865	2.36	-15.87	1.42
	81.11	-65.26	75.75	0.00	0.0729	13.44	591.3	306.61	0.0177	104.3	1.878	2.38	-15.76	1.42
	82.11	-65.72	75.75	0.00	0.0730	13.43	591.0	305.83	0.0175	103.4	1.861	2.35	-15.90	1.42
	83.11	-65.72	75.75	0.00	0.0729	13.44	591.1	305.88	0.0176	103.8	1.869	2.36	-15.84	1.42
	84.11	-65.72	75.72	0.00	0.0730	13.44	591.2	305.98	0.0176	104.1	1.873	2.37	-15.82	1.42
