Jun 17 2020 at 21:04:22
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.31	-66.20	75.72	0.00	0.0737	13.58	597.4	308.50	0.0177	105.0	1.890	2.39	-15.74	1.42
	1.38	-65.72	75.72	0.00	0.0737	13.61	598.6	309.85	0.0177	104.4	1.879	2.38	-15.78	1.42
	2.31	-65.72	75.72	0.00	0.0736	13.59	597.8	309.43	0.0177	105.0	1.891	2.39	-15.70	1.42
	3.31	-65.72	75.75	0.00	0.0736	13.60	598.5	309.67	0.0177	104.7	1.885	2.38	-15.74	1.42
	4.31	-65.72	75.75	0.00	0.0736	13.59	598.0	309.45	0.0177	104.8	1.886	2.39	-15.73	1.42
	5.31	-65.72	75.78	0.00	0.0737	13.59	597.8	309.20	0.0176	104.9	1.888	2.39	-15.72	1.42
	6.31	-65.72	75.75	0.00	0.0737	13.60	598.2	309.53	0.0177	104.7	1.885	2.38	-15.74	1.42
	7.31	-65.72	75.75	0.00	0.0736	13.60	598.4	309.64	0.0177	104.8	1.886	2.39	-15.73	1.42
	8.30	-65.26	75.78	0.00	0.0737	13.60	598.2	310.11	0.0177	105.0	1.890	2.40	-15.68	1.42
	9.31	-65.72	75.75	0.00	0.0736	13.60	598.5	309.68	0.0178	105.1	1.893	2.39	-15.69	1.42
	10.30	-65.72	75.75	0.00	0.0736	13.60	598.4	309.63	0.0178	105.2	1.894	2.40	-15.69	1.42
	11.31	-65.72	75.75	0.00	0.0735	13.59	597.8	309.30	0.0178	105.6	1.900	2.40	-15.64	1.42
	12.30	-65.26	75.75	0.00	0.0736	13.59	598.2	310.19	0.0178	105.4	1.897	2.40	-15.64	1.42
	13.31	-65.72	75.75	0.00	0.0736	13.59	598.0	309.40	0.0178	105.5	1.899	2.40	-15.65	1.42
	14.30	-65.72	75.72	0.00	0.0737	13.59	598.0	309.54	0.0178	105.7	1.902	2.41	-15.63	1.42
	15.31	-65.72	75.75	0.00	0.0737	13.59	598.1	309.47	0.0178	105.8	1.905	2.41	-15.62	1.42
	16.30	-65.72	75.72	0.00	0.0736	13.59	598.0	309.54	0.0179	105.9	1.906	2.41	-15.61	1.42
