Jun 18 2020 at 10:52:21
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.14	-65.72	73.77	0.00	0.0677	12.29	540.8	287.34	0.0450	329.8	5.936	7.71	-1.04	1.57
	1.16	-65.72	73.72	0.00	0.0677	12.29	540.6	287.42	0.0447	328.2	5.907	7.68	-1.11	1.57
	2.14	-66.19	73.75	0.00	0.0677	12.28	540.5	286.63	0.0459	328.4	5.912	7.66	-1.13	1.57
	3.14	-65.72	73.75	0.00	0.0677	12.29	540.8	287.41	0.0457	329.8	5.936	7.71	-1.04	1.57
	4.14	-65.72	73.75	0.00	0.0678	12.30	541.2	287.63	0.0475	339.6	6.114	7.94	-0.64	1.57
	5.14	-65.72	73.72	0.00	0.0678	12.31	541.7	287.99	0.0475	346.9	6.244	8.12	-0.35	1.57
	6.14	-65.72	73.77	0.00	0.0678	12.32	542.2	288.09	0.0483	360.3	6.486	8.42	0.17	1.57
	7.14	-65.72	73.75	0.00	0.0679	12.30	541.4	287.74	0.0482	351.0	6.318	8.21	-0.19	1.57
	8.14	-65.26	73.72	0.00	0.0678	12.32	542.2	288.91	0.0488	373.0	6.714	8.74	0.68	1.57
	9.14	-65.72	73.77	0.00	0.0678	12.31	541.6	287.75	0.0485	352.2	6.340	8.23	-0.14	1.57
	10.14	-65.72	73.75	0.00	0.0678	12.31	541.7	287.90	0.0492	356.1	6.410	8.33	0.01	1.57
	11.14	-65.72	73.77	0.00	0.0681	12.42	546.3	290.24	0.0497	367.5	6.615	8.59	0.45	1.57
	12.22	-65.26	73.75	0.00	0.0679	12.32	542.3	288.86	0.0496	366.9	6.604	8.60	0.45	1.57
	13.14	-65.72	73.77	0.00	0.0680	12.37	544.2	289.15	0.0502	376.5	6.776	8.80	0.78	1.57
	14.16	-65.72	73.75	0.00	0.0679	12.35	543.5	288.85	0.0497	368.5	6.632	8.62	0.48	1.57
	15.14	-65.26	73.75	0.00	0.0680	12.37	544.2	289.88	0.0501	378.0	6.803	8.86	0.86	1.57
	16.16	-65.72	73.75	0.00	0.0680	12.36	543.7	288.96	0.0501	370.5	6.669	8.66	0.56	1.57
	17.14	-65.72	73.72	0.00	0.0680	12.36	543.6	289.05	0.0513	380.3	6.845	8.90	0.92	1.57
	18.16	-65.72	73.75	0.00	0.0680	12.38	544.6	289.43	0.0506	381.2	6.862	8.92	0.95	1.57
	19.14	-65.72	73.75	0.00	0.0681	12.38	544.8	289.58	0.0514	387.0	6.965	9.05	1.16	1.57
	20.14	-66.19	73.75	0.00	0.0680	12.40	545.5	289.26	0.0508	382.0	6.875	8.91	0.95	1.57
	21.14	-65.72	73.77	0.00	0.0683	12.41	546.2	290.21	0.0515	382.8	6.890	8.95	1.01	1.57
	22.14	-65.72	73.75	0.00	0.0683	12.43	546.9	290.66	0.0534	398.3	7.170	9.32	1.56	1.57
	23.14	-65.72	73.75	0.00	0.0682	12.41	545.9	290.16	0.0522	397.1	7.148	9.29	1.52	1.57
	24.14	-65.72	73.77	0.00	0.0682	12.41	546.0	290.09	0.0523	400.1	7.202	9.35	1.63	1.57
	25.14	-65.72	73.75	0.00	0.0683	12.42	546.3	290.35	0.0526	395.0	7.111	9.24	1.45	1.57
	26.14	-65.72	73.77	0.00	0.0685	12.47	548.8	291.57	0.0531	399.3	7.187	9.33	1.60	1.57
	27.14	-65.72	73.75	0.00	0.0684	12.45	547.7	291.11	0.0533	409.8	7.376	9.58	1.96	1.57
	28.14	-65.72	73.75	0.00	0.0683	12.43	546.8	290.63	0.0530	399.7	7.194	9.35	1.61	1.57
	29.14	-65.72	73.74	0.00	0.0684	12.45	547.8	291.15	0.0542	408.8	7.359	9.56	1.93	1.57
	30.14	-65.72	73.75	0.00	0.0684	12.44	547.6	291.03	0.0539	407.1	7.328	9.52	1.87	1.57
	31.22	-65.72	73.75	0.00	0.0684	12.45	547.8	291.18	0.0537	408.5	7.354	9.55	1.92	1.57
	32.14	-65.26	73.74	0.00	0.0685	12.48	549.0	292.44	0.0547	413.5	7.443	9.69	2.12	1.57
	33.16	-65.72	73.75	0.00	0.0687	12.52	550.9	292.81	0.0552	417.1	7.508	9.75	2.21	1.57
	34.14	-65.72	73.75	0.00	0.0688	12.54	551.8	293.26	0.0550	423.1	7.616	9.89	2.41	1.57
	35.16	-64.82	73.72	0.00	0.0687	12.52	550.8	294.12	0.0552	421.2	7.582	9.90	2.41	1.57
	36.14	-65.72	73.75	0.00	0.0686	12.51	550.3	292.48	0.0553	423.0	7.614	9.89	2.41	1.57
	37.16	-65.72	73.77	0.00	0.0687	12.53	551.3	292.90	0.0558	432.0	7.776	10.10	2.70	1.57
	38.14	-65.72	73.75	0.00	0.0686	12.53	551.3	293.00	0.0555	430.1	7.741	10.06	2.64	1.57
	39.16	-65.72	73.75	0.00	0.0688	12.54	551.9	293.35	0.0569	442.0	7.956	10.34	3.02	1.57
	40.14	-65.72	73.77	0.00	0.0688	12.52	550.8	292.64	0.0563	434.6	7.823	10.16	2.79	1.57
	41.14	-65.72	73.75	0.00	0.0687	12.51	550.5	292.58	0.0563	434.0	7.812	10.15	2.77	1.57
	42.14	-65.72	73.75	0.00	0.0688	12.54	551.6	293.20	0.0576	443.7	7.987	10.38	3.08	1.57
	43.14	-65.72	73.75	0.00	0.0689	12.54	551.8	293.28	0.0574	445.6	8.021	10.42	3.14	1.57
	44.14	-65.72	73.75	0.00	0.0688	12.53	551.2	292.97	0.0577	441.6	7.949	10.33	3.01	1.57
	45.14	-65.72	73.75	0.00	0.0688	12.55	552.1	293.45	0.0576	448.3	8.069	10.48	3.22	1.57
	46.14	-65.72	73.75	0.00	0.0690	12.58	553.3	294.08	0.0587	461.4	8.306	10.79	3.63	1.57
	47.14	-65.72	73.75	0.00	0.0689	12.58	553.5	294.17	0.0576	457.4	8.233	10.70	3.51	1.57
