Jun 18 2020 at 11:18:52
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.77	-65.72	73.75	0.00	0.0683	12.46	548.2	291.34	0.0320	208.6	3.756	4.88	-7.13	1.61
	1.78	-65.72	73.75	0.00	0.0685	12.43	547.0	290.74	0.0322	234.7	4.225	5.49	-5.59	1.61
	2.77	-65.72	73.75	0.00	0.0687	12.49	549.6	292.12	0.0290	199.5	3.592	4.67	-7.71	1.61
	3.78	-65.72	73.75	0.00	0.0683	12.48	549.0	291.76	0.0355	210.6	3.790	4.92	-7.01	1.61
	4.76	-65.72	73.77	0.00	0.0684	12.47	548.5	291.44	0.0326	217.4	3.913	5.08	-6.60	1.61
	5.78	-65.72	73.75	0.00	0.0684	12.52	550.8	292.77	0.0335	199.1	3.583	4.66	-7.74	1.61
	6.76	-65.72	73.75	0.00	0.0687	12.55	552.3	293.55	0.0285	178.1	3.205	4.16	-9.17	1.61
	7.78	-65.72	73.75	0.00	0.0682	12.42	546.5	290.48	0.0361	228.7	4.116	5.35	-5.94	1.61
	8.84	-65.72	73.75	0.00	0.0681	12.43	546.9	290.70	0.0367	222.4	4.004	5.20	-6.30	1.61
	9.78	-65.26	73.75	0.00	0.0688	12.45	547.9	291.87	0.0298	217.4	3.913	5.10	-6.57	1.61
	10.84	-65.72	73.75	0.00	0.0685	12.47	548.9	291.72	0.0322	217.9	3.922	5.10	-6.57	1.61
	11.78	-65.72	73.77	0.00	0.0683	12.49	549.4	291.92	0.0338	207.6	3.738	4.85	-7.19	1.61
	12.78	-65.26	73.75	0.00	0.0684	12.46	548.3	292.06	0.0340	226.3	4.074	5.30	-6.04	1.61
	13.78	-65.72	73.69	0.00	0.0686	12.45	547.7	291.32	0.0310	220.4	3.967	5.16	-6.42	1.61
