Jun 18 2020 at 11:45:22
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.12	-65.72	73.77	0.00	0.0673	12.17	535.4	284.45	0.0399	285.7	5.143	6.68	-2.98	1.56
	1.14	-65.72	73.77	0.00	0.0672	12.18	536.0	284.79	0.0402	283.0	5.093	6.62	-3.11	1.56
	2.12	-65.26	73.77	0.00	0.0671	12.18	535.9	285.38	0.0426	286.6	5.159	6.71	-2.91	1.56
	3.14	-65.72	73.77	0.00	0.0673	12.16	535.2	284.35	0.0400	289.7	5.214	6.77	-2.80	1.56
	4.12	-65.72	73.75	0.00	0.0674	12.21	537.4	285.60	0.0399	276.9	4.984	6.47	-3.41	1.56
	5.14	-65.72	73.72	0.00	0.0671	12.16	534.9	284.39	0.0426	293.1	5.276	6.86	-2.64	1.56
	6.12	-65.72	73.75	0.00	0.0672	12.14	534.0	283.79	0.0409	301.9	5.434	7.06	-2.24	1.56
	7.14	-65.26	73.77	0.00	0.0672	12.18	536.0	285.42	0.0405	283.3	5.100	6.64	-3.07	1.56
	8.12	-65.72	73.75	0.00	0.0669	12.16	535.2	284.48	0.0437	290.2	5.223	6.79	-2.78	1.56
	9.14	-65.72	73.75	0.00	0.0669	12.15	534.5	284.07	0.0432	299.0	5.382	6.99	-2.37	1.57
	10.14	-65.72	73.77	0.00	0.0669	12.13	533.6	283.49	0.0435	303.4	5.462	7.09	-2.17	1.57
	11.14	-65.72	73.77	0.00	0.0670	12.12	533.3	283.36	0.0433	303.7	5.467	7.10	-2.16	1.56
	12.14	-66.19	73.75	0.00	0.0670	12.14	534.3	283.33	0.0427	299.4	5.390	6.99	-2.38	1.56
	13.14	-65.72	73.75	0.00	0.0670	12.14	534.0	283.81	0.0428	302.6	5.447	7.08	-2.21	1.57
	14.14	-65.72	73.77	0.00	0.0668	12.04	529.7	281.46	0.0447	330.3	5.946	7.72	-1.02	1.57
	15.14	-65.72	73.77	0.00	0.0668	12.08	531.4	282.36	0.0445	320.9	5.776	7.50	-1.41	1.57
	16.14	-65.72	73.77	0.00	0.0665	12.01	528.6	280.84	0.0468	340.4	6.128	7.96	-0.61	1.56
	17.14	-65.72	73.77	0.00	0.0667	12.04	529.9	281.55	0.0459	334.6	6.022	7.82	-0.85	1.57
	18.14	-65.72	73.77	0.00	0.0668	12.03	529.5	281.32	0.0457	340.7	6.133	7.97	-0.60	1.57
	19.14	-65.72	73.77	0.00	0.0668	12.05	530.2	281.73	0.0451	332.8	5.990	7.78	-0.92	1.57
	20.14	-65.72	73.77	0.00	0.0668	12.09	531.8	282.52	0.0462	323.5	5.822	7.56	-1.31	1.57
	21.12	-65.72	73.77	0.00	0.0665	12.00	528.1	280.58	0.0474	347.7	6.259	8.13	-0.32	1.57
	22.14	-66.19	73.77	0.00	0.0665	12.01	528.5	280.16	0.0473	349.3	6.287	8.15	-0.29	1.57
	23.12	-65.72	73.77	0.00	0.0665	12.01	528.5	280.80	0.0477	347.0	6.247	8.11	-0.34	1.57
