Jun 23 2020 at 20:43:03
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.91	-65.72	74.03	0.00	0.0774	14.64	644.2	341.08	0.0395	274.4	4.939	6.39	-3.53	1.40
	1.91	-65.26	74.03	0.00	0.0773	14.63	643.8	341.59	0.0395	275.1	4.951	6.42	-3.46	1.40
	2.89	-65.72	74.03	0.00	0.0774	14.64	644.0	340.99	0.0395	275.3	4.955	6.41	-3.48	1.40
	3.91	-65.26	74.03	0.00	0.0774	14.62	643.4	341.38	0.0397	274.4	4.940	6.41	-3.49	1.40
	4.89	-65.72	74.03	0.00	0.0774	14.65	644.5	341.23	0.0398	275.2	4.953	6.41	-3.49	1.40
	5.91	-65.72	74.03	0.00	0.0775	14.68	645.9	341.96	0.0398	277.9	5.003	6.47	-3.35	1.40
	6.89	-65.72	74.06	0.00	0.0776	14.68	646.1	341.94	0.0399	278.1	5.007	6.48	-3.34	1.40
	7.91	-65.72	74.06	0.00	0.0775	14.66	645.2	341.48	0.0399	278.3	5.010	6.48	-3.34	1.40
	8.91	-65.72	74.06	0.00	0.0777	14.68	646.0	341.90	0.0403	280.6	5.050	6.53	-3.23	1.40
	9.91	-65.26	74.03	0.00	0.0777	14.69	646.5	343.06	0.0404	280.6	5.051	6.55	-3.20	1.40
	10.91	-65.72	74.03	0.00	0.0775	14.70	646.7	342.38	0.0403	280.4	5.047	6.53	-3.24	1.40
	11.91	-65.72	74.03	0.00	0.0776	14.67	645.5	341.75	0.0402	279.0	5.022	6.50	-3.30	1.40
	12.91	-65.26	74.03	0.00	0.0776	14.69	646.3	342.93	0.0401	280.0	5.040	6.54	-3.22	1.40
	13.89	-65.72	74.03	0.00	0.0775	14.71	647.3	342.69	0.0403	282.4	5.083	6.58	-3.14	1.40
	14.91	-65.72	74.03	0.00	0.0778	14.71	647.2	342.66	0.0403	282.4	5.083	6.58	-3.14	1.40
	15.89	-65.72	74.03	0.00	0.0778	14.74	648.4	343.27	0.0407	284.6	5.123	6.63	-3.04	1.40
	16.91	-65.72	74.06	0.00	0.0779	14.74	648.5	343.22	0.0408	284.5	5.121	6.63	-3.04	1.40
	17.89	-65.72	74.03	0.00	0.0778	14.73	648.2	343.19	0.0406	285.0	5.130	6.64	-3.02	1.40
	18.91	-66.19	74.03	0.00	0.0777	14.73	648.1	342.36	0.0408	285.0	5.130	6.62	-3.05	1.40
	19.91	-65.72	74.06	0.00	0.0777	14.74	648.7	343.33	0.0409	286.0	5.147	6.66	-2.97	1.40
	20.91	-65.72	74.03	0.00	0.0778	14.75	648.8	343.49	0.0409	286.2	5.151	6.67	-2.96	1.40
	21.91	-65.71	74.03	0.00	0.0778	14.77	649.7	344.00	0.0410	287.2	5.170	6.69	-2.91	1.40
	22.91	-65.26	74.03	0.00	0.0779	14.77	649.8	344.77	0.0408	287.2	5.170	6.71	-2.88	1.40
	23.91	-66.19	74.03	0.00	0.0780	14.76	649.5	343.09	0.0410	287.0	5.166	6.67	-2.95	1.40
	24.91	-65.72	74.03	0.00	0.0780	14.75	649.2	343.71	0.0411	286.7	5.161	6.68	-2.94	1.40
	25.91	-65.72	74.03	0.00	0.0779	14.76	649.6	343.91	0.0409	287.8	5.181	6.71	-2.88	1.40
	26.89	-65.72	74.03	0.00	0.0780	14.76	649.5	343.86	0.0410	287.9	5.182	6.71	-2.88	1.40
	27.91	-66.19	74.03	0.00	0.0778	14.75	649.1	342.87	0.0409	287.7	5.178	6.69	-2.92	1.40
	28.97	-65.72	74.03	0.00	0.0778	14.76	649.3	343.75	0.0410	287.4	5.173	6.69	-2.91	1.40
	29.91	-65.72	74.06	0.00	0.0781	14.77	649.7	343.88	0.0410	288.6	5.195	6.72	-2.85	1.40
