Jun 23 2020 at 21:03:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.69	-65.72	74.06	0.00	0.0861	16.96	746.3	394.99	0.0409	286.5	5.156	6.67	-2.95	1.35
	1.67	-65.71	74.06	0.00	0.0849	16.71	735.1	389.04	0.0406	284.0	5.112	6.61	-3.06	1.35
	2.69	-65.72	74.01	0.00	0.0894	17.47	768.7	407.11	0.0412	287.1	5.168	6.69	-2.92	1.35
	3.67	-65.72	74.06	0.00	0.0844	16.58	729.5	386.10	0.0406	283.6	5.105	6.60	-3.08	1.36
	4.69	-65.72	74.06	0.00	0.0890	17.46	768.3	406.64	0.0413	287.4	5.174	6.69	-2.90	1.36
	5.75	-66.20	74.06	0.00	0.0881	17.00	748.0	394.97	0.0411	286.7	5.160	6.66	-2.97	1.35
	6.69	-65.72	74.03	0.00	0.0878	17.67	777.6	411.72	0.0412	289.3	5.207	6.74	-2.82	1.35
	7.69	-65.72	74.06	0.00	0.0873	17.37	764.2	404.46	0.0410	288.2	5.187	6.71	-2.87	1.35
	8.67	-65.72	74.08	0.00	0.0884	17.48	769.3	407.02	0.0412	287.8	5.181	6.70	-2.88	1.35
	9.69	-65.26	74.06	0.00	0.0844	16.98	747.0	396.20	0.0406	285.9	5.147	6.67	-2.94	1.35
	10.67	-65.71	74.06	0.00	0.0884	17.47	768.5	406.76	0.0412	288.5	5.193	6.72	-2.85	1.36
	11.70	-65.72	74.06	0.00	0.0864	17.00	748.1	395.94	0.0409	286.1	5.150	6.66	-2.97	1.35
	12.69	-65.72	74.06	0.00	0.0892	17.64	776.2	410.77	0.0413	289.8	5.216	6.75	-2.79	1.35
	13.70	-65.72	74.06	0.00	0.0867	17.34	763.0	403.84	0.0408	287.3	5.172	6.69	-2.91	1.35
	14.69	-65.72	74.08	0.00	0.0867	17.06	750.5	397.05	0.0408	285.7	5.143	6.65	-2.98	1.35
	15.70	-65.72	74.03	0.00	0.0889	17.59	773.8	409.69	0.0412	288.9	5.201	6.73	-2.83	1.35
	16.70	-65.72	74.08	0.00	0.0880	16.98	747.0	395.21	0.0410	285.8	5.144	6.65	-2.98	1.36
	17.70	-65.72	74.06	0.00	0.0875	17.38	764.8	404.77	0.0410	287.8	5.181	6.70	-2.88	1.35
	18.70	-65.72	74.06	0.00	0.0901	17.84	784.8	415.35	0.0414	289.9	5.218	6.75	-2.79	1.35
	19.69	-65.72	74.06	0.00	0.0867	16.80	739.0	391.15	0.0409	284.5	5.120	6.62	-3.04	1.35
	20.70	-65.72	74.08	0.00	0.0830	16.23	714.2	377.88	0.0402	280.8	5.055	6.54	-3.21	1.35
	21.69	-65.72	74.06	0.00	0.0820	15.80	695.1	367.89	0.0399	278.1	5.005	6.48	-3.35	1.36
	22.70	-65.72	74.08	0.00	0.0830	16.03	705.3	373.16	0.0402	279.6	5.033	6.51	-3.27	1.35
	23.69	-65.72	74.06	0.00	0.0853	17.57	772.9	409.08	0.0406	289.8	5.216	6.75	-2.79	1.35
