Jun 12 2020 at 10:49:59
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.62	-65.72	76.61	0.00	0.0712	12.94	569.4	291.35	0.0139	80.2	1.443	1.81	-18.91	1.76
	1.61	-65.72	76.61	0.00	0.0711	12.95	569.9	291.56	0.0151	88.3	1.589	1.99	-17.78	1.76
	2.62	-65.72	76.58	0.00	0.0709	12.93	568.8	291.09	0.0155	92.4	1.663	2.08	-17.24	1.76
	3.61	-65.26	76.61	0.00	0.0705	12.85	565.2	289.80	0.0170	95.3	1.715	2.15	-16.84	1.76
	4.62	-65.72	76.61	0.00	0.0707	12.85	565.2	289.17	0.0161	96.3	1.733	2.17	-16.75	1.76
	5.61	-66.20	76.58	0.00	0.0711	12.95	569.7	290.89	0.0152	88.1	1.585	1.98	-17.83	1.76
	6.62	-65.26	76.61	0.00	0.0710	12.94	569.3	291.94	0.0155	90.0	1.620	2.03	-17.52	1.76
	7.61	-65.72	76.61	0.00	0.0709	12.91	568.1	290.63	0.0148	86.6	1.558	1.95	-18.01	1.76
	8.62	-65.72	76.61	0.00	0.0708	12.92	568.3	290.74	0.0152	86.7	1.560	1.95	-17.99	1.76
	9.61	-65.72	76.61	0.00	0.0707	12.92	568.3	290.78	0.0155	87.3	1.572	1.97	-17.90	1.76
	10.62	-65.72	76.66	0.00	0.0702	12.80	563.3	288.03	0.0175	101.2	1.822	2.28	-16.15	1.76
	11.61	-65.72	76.58	0.00	0.0711	13.18	579.7	296.71	0.0188	115.7	2.083	2.61	-14.53	1.76
	12.62	-65.26	76.61	0.00	0.0710	12.99	571.4	292.98	0.0174	97.9	1.762	2.21	-16.52	1.76
	13.69	-65.72	76.61	0.00	0.0710	12.87	566.4	289.76	0.0174	100.3	1.805	2.26	-16.26	1.76
