Jun 12 2020 at 10:57:02
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.30	-65.26	76.58	0.00	0.0694	12.54	551.6	282.93	0.0324	212.6	3.826	4.80	-6.86	1.77
	1.30	-65.72	76.61	0.00	0.0693	12.54	551.7	282.26	0.0327	213.9	3.851	4.82	-6.81	1.78
	2.30	-65.72	76.58	0.00	0.0694	12.53	551.5	282.28	0.0329	216.5	3.896	4.87	-6.65	1.78
	3.30	-65.72	76.61	0.00	0.0693	12.54	551.6	282.22	0.0333	218.0	3.923	4.91	-6.56	1.78
	4.30	-65.72	76.58	0.00	0.0694	12.54	551.6	282.31	0.0334	220.3	3.965	4.96	-6.43	1.77
	5.28	-65.72	76.58	0.00	0.0693	12.54	551.6	282.33	0.0334	220.0	3.959	4.95	-6.44	1.78
	6.30	-65.72	76.58	0.00	0.0694	12.54	551.7	282.37	0.0336	221.3	3.984	4.98	-6.37	1.77
	7.28	-65.72	76.58	0.00	0.0693	12.55	552.0	282.50	0.0340	224.2	4.036	5.05	-6.20	1.78
	8.30	-65.72	76.58	0.00	0.0693	12.54	551.8	282.44	0.0340	226.4	4.075	5.10	-6.07	1.78
	9.28	-65.72	76.58	0.00	0.0694	12.54	551.6	282.29	0.0340	225.2	4.054	5.07	-6.14	1.77
	10.30	-65.72	76.58	0.00	0.0694	12.54	551.6	282.33	0.0342	225.8	4.065	5.09	-6.10	1.78
	11.28	-65.26	76.64	0.00	0.0694	12.54	551.8	282.85	0.0344	227.8	4.101	5.14	-5.96	1.78
	12.30	-65.72	76.61	0.00	0.0694	12.56	552.6	282.73	0.0349	232.5	4.185	5.23	-5.72	1.78
	13.28	-65.72	76.58	0.00	0.0694	12.54	552.0	282.50	0.0346	229.8	4.137	5.18	-5.87	1.78
	14.30	-65.72	76.56	0.00	0.0694	12.55	552.0	282.61	0.0348	231.4	4.165	5.21	-5.78	1.78
	15.28	-65.26	76.58	0.00	0.0694	12.55	552.3	283.31	0.0357	237.8	4.281	5.37	-5.39	1.78
	16.30	-65.72	76.61	0.00	0.0694	12.54	551.7	282.26	0.0350	232.9	4.193	5.24	-5.70	1.78
	17.28	-65.26	76.61	0.00	0.0694	12.54	551.8	282.95	0.0352	233.8	4.209	5.28	-5.62	1.78
	18.30	-65.72	76.53	0.00	0.0694	12.55	552.2	282.82	0.0356	236.1	4.249	5.32	-5.52	1.78
	19.28	-65.26	76.58	0.00	0.0694	12.55	552.4	283.34	0.0355	238.9	4.300	5.39	-5.34	1.78
	20.30	-65.72	76.58	0.00	0.0694	12.55	552.3	282.66	0.0356	238.4	4.292	5.37	-5.39	1.78
	21.28	-65.72	76.56	0.00	0.0694	12.55	552.3	282.77	0.0358	240.9	4.335	5.43	-5.26	1.78
	22.30	-65.72	76.58	0.00	0.0693	12.54	551.8	282.42	0.0359	238.9	4.299	5.38	-5.37	1.78
	23.36	-65.71	76.61	0.00	0.0694	12.54	552.0	282.41	0.0358	240.1	4.322	5.41	-5.29	1.78
	24.30	-65.72	76.56	0.00	0.0694	12.54	551.9	282.53	0.0360	240.9	4.336	5.43	-5.25	1.78
	25.30	-65.72	76.61	0.00	0.0694	12.55	552.3	282.56	0.0362	242.7	4.369	5.46	-5.15	1.78
	26.30	-65.72	76.58	0.00	0.0694	12.55	552.0	282.53	0.0363	243.9	4.391	5.49	-5.09	1.78
	27.30	-65.72	76.58	0.00	0.0694	12.55	552.1	282.56	0.0365	245.0	4.410	5.52	-5.03	1.78
	28.30	-65.26	76.58	0.00	0.0694	12.56	552.7	283.49	0.0368	251.6	4.529	5.68	-4.65	1.78
	29.30	-65.72	76.58	0.00	0.0693	12.54	551.9	282.48	0.0366	246.8	4.442	5.56	-4.94	1.78
	30.30	-65.72	76.58	0.00	0.0694	12.54	551.8	282.42	0.0367	246.2	4.432	5.54	-4.97	1.78
	31.30	-65.72	76.58	0.00	0.0694	12.55	552.1	282.58	0.0367	248.1	4.467	5.59	-4.86	1.78
	32.30	-65.72	76.64	0.00	0.0695	12.57	552.9	282.77	0.0371	252.9	4.553	5.69	-4.61	1.78
	33.30	-65.72	76.58	0.00	0.0694	12.55	552.3	282.68	0.0371	251.0	4.519	5.65	-4.71	1.78
	34.30	-65.72	76.58	0.00	0.0694	12.55	552.4	282.70	0.0372	251.0	4.517	5.65	-4.71	1.78
	35.30	-65.72	76.61	0.00	0.0694	12.56	552.5	282.69	0.0371	251.4	4.526	5.66	-4.69	1.78
	36.30	-65.72	76.56	0.00	0.0694	12.55	552.0	282.61	0.0372	251.7	4.531	5.67	-4.67	1.78
