Jun 12 2020 at 11:33:47
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.52	-64.82	76.56	0.00	0.0701	12.74	560.8	288.35	0.0205	123.4	2.221	2.79	-13.70	1.81
	1.53	-65.72	76.50	0.00	0.0700	12.71	559.5	286.62	0.0210	125.0	2.249	2.82	-13.60	1.81
	2.59	-65.26	76.53	0.00	0.0701	12.72	559.7	287.31	0.0207	125.3	2.256	2.83	-13.53	1.81
	3.53	-65.72	76.56	0.00	0.0700	12.71	559.0	286.21	0.0210	127.4	2.293	2.87	-13.36	1.81
	4.59	-65.72	76.56	0.00	0.0701	12.70	559.0	286.20	0.0212	128.2	2.308	2.89	-13.28	1.81
	5.52	-64.82	76.56	0.00	0.0700	12.69	558.5	287.17	0.0214	130.3	2.346	2.95	-13.03	1.81
	6.52	-65.72	76.56	0.00	0.0698	12.67	557.4	285.40	0.0218	132.2	2.380	2.98	-12.90	1.81
	7.53	-65.26	76.56	0.00	0.0701	12.71	559.3	286.98	0.0212	129.7	2.335	2.93	-13.11	1.81
	8.59	-65.26	76.56	0.00	0.0700	12.70	558.8	286.75	0.0216	131.0	2.358	2.96	-12.99	1.81
	9.53	-65.26	76.53	0.00	0.0700	12.69	558.4	286.63	0.0216	132.2	2.379	2.99	-12.88	1.81
	10.53	-65.72	76.53	0.00	0.0699	12.68	557.8	285.65	0.0221	135.1	2.432	3.04	-12.63	1.81
	11.52	-65.72	76.53	0.00	0.0700	12.68	558.1	285.80	0.0220	133.6	2.404	3.01	-12.77	1.81
	12.55	-65.72	76.56	0.00	0.0699	12.68	557.9	285.61	0.0222	134.8	2.427	3.04	-12.66	1.81
	13.53	-65.72	76.58	0.00	0.0699	12.68	557.8	285.46	0.0223	136.6	2.459	3.08	-12.50	1.81
	14.55	-65.72	76.53	0.00	0.0699	12.67	557.4	285.49	0.0224	137.8	2.481	3.11	-12.39	1.81
	15.52	-65.72	76.56	0.00	0.0698	12.66	557.0	285.17	0.0227	139.4	2.510	3.14	-12.24	1.81
	16.55	-65.71	76.53	0.00	0.0699	12.68	557.9	285.71	0.0228	139.7	2.514	3.15	-12.22	1.81
	17.52	-65.72	76.56	0.00	0.0699	12.68	558.1	285.72	0.0230	141.5	2.547	3.19	-12.06	1.81
	18.55	-65.26	76.53	0.00	0.0699	12.67	557.6	286.20	0.0234	143.0	2.574	3.23	-11.90	1.81
	19.52	-65.72	76.58	0.00	0.0698	12.66	557.0	285.08	0.0234	144.0	2.591	3.24	-11.85	1.81
	20.53	-65.26	76.56	0.00	0.0698	12.65	556.7	285.63	0.0240	147.7	2.659	3.33	-11.50	1.81
	21.53	-65.72	76.56	0.00	0.0698	12.65	556.4	284.87	0.0240	148.8	2.678	3.35	-11.43	1.81
	22.55	-65.26	76.53	0.00	0.0698	12.65	556.5	285.66	0.0242	148.1	2.667	3.35	-11.46	1.81
	23.52	-65.26	76.53	0.00	0.0698	12.65	556.7	285.75	0.0242	149.4	2.690	3.38	-11.35	1.81
	24.53	-65.26	76.53	0.00	0.0698	12.63	555.9	285.34	0.0244	151.5	2.728	3.42	-11.18	1.81
	25.52	-66.19	76.53	0.00	0.0698	12.63	555.8	284.03	0.0246	153.0	2.754	3.44	-11.11	1.81
	26.53	-65.72	76.58	0.00	0.0697	12.64	556.0	284.55	0.0247	153.3	2.760	3.45	-11.06	1.81
	27.52	-65.72	76.56	0.00	0.0697	12.63	555.6	284.45	0.0249	154.3	2.778	3.48	-10.98	1.81
	28.53	-65.72	76.56	0.00	0.0697	12.62	555.3	284.30	0.0252	157.5	2.835	3.55	-10.72	1.81
	29.52	-65.72	76.56	0.00	0.0697	12.62	555.3	284.31	0.0253	157.3	2.831	3.54	-10.74	1.81
	30.53	-65.72	76.56	0.00	0.0697	12.62	555.4	284.36	0.0252	155.5	2.800	3.50	-10.88	1.81
	31.59	-65.72	76.56	0.00	0.0697	12.61	555.0	284.13	0.0253	158.9	2.859	3.58	-10.61	1.81
	32.55	-65.72	76.56	0.00	0.0696	12.61	554.6	283.96	0.0257	162.3	2.921	3.66	-10.34	1.81
	33.59	-65.72	76.53	0.00	0.0695	12.60	554.4	283.92	0.0262	163.7	2.947	3.69	-10.23	1.81
	34.55	-65.72	76.56	0.00	0.0696	12.59	554.0	283.66	0.0262	164.1	2.954	3.70	-10.21	1.81
	35.59	-65.26	76.56	0.00	0.0696	12.61	554.8	284.66	0.0258	161.2	2.902	3.64	-10.40	1.81
	36.53	-65.72	76.58	0.00	0.0696	12.60	554.4	283.74	0.0259	161.8	2.913	3.64	-10.38	1.81
	37.61	-65.72	76.58	0.00	0.0695	12.58	553.6	283.34	0.0266	167.6	3.016	3.77	-9.94	1.81
	38.53	-65.72	76.56	0.00	0.0696	12.60	554.4	283.84	0.0264	164.8	2.967	3.71	-10.15	1.81
	39.55	-65.72	76.53	0.00	0.0695	12.59	554.0	283.76	0.0272	167.5	3.015	3.77	-9.94	1.81
	40.53	-65.26	76.58	0.00	0.0695	12.58	553.5	283.88	0.0272	172.1	3.098	3.88	-9.57	1.81
	41.55	-65.72	76.58	0.00	0.0696	12.59	554.1	283.57	0.0270	170.4	3.066	3.84	-9.73	1.81
	42.53	-65.72	76.56	0.00	0.0695	12.59	553.9	283.56	0.0272	172.4	3.103	3.88	-9.58	1.81
	43.55	-65.71	76.53	0.00	0.0694	12.57	553.0	283.21	0.0278	177.3	3.192	4.00	-9.22	1.81
	44.52	-65.73	76.56	0.00	0.0695	12.59	553.8	283.53	0.0275	173.9	3.130	3.92	-9.47	1.81
	45.55	-65.72	76.53	0.00	0.0695	12.57	553.1	283.27	0.0278	177.1	3.188	3.99	-9.24	1.81
	46.52	-65.72	76.56	0.00	0.0695	12.57	553.0	283.14	0.0281	179.3	3.227	4.04	-9.08	1.81
	47.55	-65.72	76.56	0.00	0.0694	12.56	552.7	282.97	0.0284	181.1	3.260	4.08	-8.95	1.81
	48.52	-65.72	76.56	0.00	0.0695	12.56	552.8	283.02	0.0279	176.4	3.176	3.97	-9.29	1.81
	49.53	-65.72	76.56	0.00	0.0695	12.56	552.8	283.03	0.0280	177.8	3.201	4.01	-9.19	1.81
	50.52	-65.72	76.56	0.00	0.0695	12.57	553.0	283.11	0.0283	180.5	3.249	4.07	-9.00	1.81
	51.55	-65.72	76.56	0.00	0.0694	12.57	552.9	283.08	0.0282	179.0	3.222	4.03	-9.10	1.81
	52.52	-65.72	76.58	0.00	0.0695	12.58	553.3	283.19	0.0285	182.8	3.291	4.12	-8.83	1.81
	53.53	-65.72	76.56	0.00	0.0693	12.53	551.3	282.25	0.0296	191.2	3.441	4.31	-8.26	1.81
	54.53	-65.72	76.56	0.00	0.0694	12.56	552.5	282.86	0.0288	185.1	3.332	4.17	-8.67	1.81
	55.55	-65.72	76.56	0.00	0.0694	12.56	552.7	282.94	0.0291	184.9	3.329	4.17	-8.69	1.81
	56.53	-65.72	76.56	0.00	0.0694	12.56	552.5	282.84	0.0291	186.4	3.355	4.20	-8.59	1.81
	57.53	-65.72	76.56	0.00	0.0694	12.54	551.8	282.50	0.0294	189.9	3.417	4.28	-8.35	1.81
	58.52	-65.72	76.56	0.00	0.0694	12.56	552.5	282.86	0.0293	188.0	3.384	4.24	-8.47	1.81
	59.55	-65.26	76.53	0.00	0.0694	12.55	552.0	283.34	0.0295	190.3	3.426	4.30	-8.29	1.81
	60.53	-65.26	76.56	0.00	0.0693	12.54	551.9	283.17	0.0297	192.1	3.458	4.34	-8.17	1.81
	61.53	-65.72	76.53	0.00	0.0694	12.54	551.9	282.63	0.0298	193.8	3.488	4.37	-8.09	1.81
	62.55	-65.72	76.56	0.00	0.0693	12.54	551.8	282.50	0.0303	195.8	3.525	4.41	-7.95	1.81
	63.55	-65.72	76.56	0.00	0.0694	12.54	551.7	282.47	0.0301	195.1	3.512	4.39	-8.00	1.81
	64.61	-65.72	76.53	0.00	0.0694	12.54	552.0	282.68	0.0301	194.1	3.494	4.37	-8.06	1.81
	65.55	-65.72	76.53	0.00	0.0692	12.52	550.9	282.16	0.0308	199.8	3.597	4.50	-7.69	1.81
	66.53	-65.72	76.56	0.00	0.0693	12.52	551.0	282.10	0.0307	200.2	3.603	4.51	-7.67	1.81
	67.53	-65.72	76.53	0.00	0.0693	12.54	551.8	282.62	0.0309	197.8	3.561	4.46	-7.82	1.81
	68.53	-65.26	76.53	0.00	0.0692	12.51	550.5	282.56	0.0312	203.7	3.667	4.60	-7.41	1.81
	69.53	-65.72	76.53	0.00	0.0693	12.53	551.4	282.38	0.0310	198.2	3.568	4.47	-7.79	1.81
	70.53	-65.26	76.56	0.00	0.0692	12.52	550.8	282.63	0.0312	203.4	3.661	4.59	-7.43	1.81
	71.53	-65.72	76.56	0.00	0.0693	12.54	551.6	282.38	0.0305	196.4	3.536	4.43	-7.91	1.81
	72.53	-65.72	76.53	0.00	0.0693	12.53	551.3	282.33	0.0308	197.9	3.562	4.46	-7.82	1.81
	73.52	-65.72	76.53	0.00	0.0693	12.52	551.1	282.24	0.0305	199.4	3.589	4.49	-7.72	1.81
	74.55	-65.72	76.56	0.00	0.0693	12.53	551.4	282.29	0.0308	199.2	3.585	4.49	-7.73	1.81
	75.53	-65.26	76.56	0.00	0.0692	12.52	550.7	282.59	0.0312	203.2	3.657	4.59	-7.45	1.81
	76.55	-65.26	76.53	0.00	0.0692	12.53	551.1	282.88	0.0315	203.5	3.662	4.59	-7.43	1.81
	77.52	-65.72	76.58	0.00	0.0692	12.51	550.3	281.67	0.0317	205.9	3.706	4.64	-7.30	1.81
	78.55	-65.26	76.53	0.00	0.0692	12.51	550.3	282.47	0.0317	206.8	3.722	4.67	-7.22	1.81
	79.52	-65.72	76.56	0.00	0.0691	12.50	550.2	281.69	0.0319	209.2	3.765	4.71	-7.10	1.81
	80.53	-65.72	76.56	0.00	0.0692	12.51	550.5	281.85	0.0317	206.2	3.711	4.64	-7.29	1.81
	81.53	-65.26	76.56	0.00	0.0692	12.51	550.4	282.44	0.0318	208.4	3.751	4.71	-7.12	1.81
	82.53	-65.26	76.56	0.00	0.0693	12.51	550.6	282.51	0.0314	205.9	3.706	4.65	-7.28	1.81
	83.53	-65.72	76.56	0.00	0.0692	12.51	550.5	281.85	0.0322	208.7	3.757	4.70	-7.13	1.82
	84.53	-65.72	76.53	0.00	0.0691	12.48	549.3	281.31	0.0324	214.4	3.859	4.83	-6.78	1.81
	85.52	-65.26	76.53	0.00	0.0692	12.51	550.3	282.45	0.0320	210.3	3.786	4.75	-7.00	1.81
	86.53	-65.26	76.56	0.00	0.0692	12.51	550.5	282.48	0.0322	209.8	3.776	4.74	-7.03	1.81
	87.52	-65.72	76.56	0.00	0.0692	12.51	550.3	281.76	0.0324	211.7	3.811	4.77	-6.94	1.81
	88.53	-65.72	76.53	0.00	0.0692	12.50	550.1	281.73	0.0324	212.9	3.832	4.80	-6.87	1.82
	89.55	-65.72	76.56	0.00	0.0692	12.51	550.6	281.89	0.0323	209.9	3.778	4.73	-7.05	1.81
	90.55	-65.26	76.56	0.00	0.0692	12.51	550.4	282.43	0.0324	210.9	3.795	4.76	-6.97	1.81
	91.55	-65.72	76.53	0.00	0.0692	12.51	550.3	281.84	0.0326	212.6	3.827	4.79	-6.89	1.81
	92.53	-65.72	76.56	0.00	0.0691	12.49	549.6	281.39	0.0331	218.0	3.924	4.91	-6.56	1.81
	93.53	-65.71	76.56	0.00	0.0691	12.50	550.0	281.62	0.0330	215.5	3.879	4.85	-6.71	1.81
	94.53	-65.72	76.56	0.00	0.0692	12.50	549.8	281.48	0.0329	216.5	3.898	4.88	-6.65	1.82
	95.53	-65.26	76.56	0.00	0.0692	12.50	550.1	282.27	0.0328	216.1	3.890	4.88	-6.65	1.82
	96.53	-65.72	76.53	0.00	0.0692	12.50	549.9	281.63	0.0330	215.3	3.876	4.85	-6.72	1.81
