Jun 17 2020 at 20:37:55
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.89	-65.26	75.70	0.00	0.0764	14.26	627.5	325.62	0.0190	113.5	2.043	2.59	-14.74	1.43
	1.89	-65.72	75.70	0.00	0.0763	14.25	626.8	324.56	0.0189	112.6	2.027	2.57	-14.86	1.43
	2.89	-65.72	75.67	0.00	0.0763	14.26	627.4	325.00	0.0189	112.7	2.029	2.57	-14.85	1.43
	3.89	-65.72	75.70	0.00	0.0763	14.26	627.3	324.80	0.0189	113.0	2.034	2.57	-14.82	1.43
	4.89	-65.72	75.67	0.00	0.0767	14.29	628.8	325.68	0.0192	113.6	2.044	2.59	-14.76	1.43
	5.89	-65.72	75.70	0.00	0.0763	14.27	627.8	325.08	0.0189	112.8	2.031	2.57	-14.84	1.43
	6.89	-65.72	75.67	0.00	0.0767	14.34	630.8	326.73	0.0190	113.8	2.049	2.59	-14.73	1.43
	7.97	-65.72	75.70	0.00	0.0764	14.27	627.8	325.07	0.0189	112.8	2.031	2.57	-14.84	1.43
	8.89	-65.72	75.70	0.00	0.0765	14.28	628.2	325.26	0.0190	113.3	2.039	2.58	-14.79	1.43
	9.91	-65.72	75.70	0.00	0.0764	14.28	628.2	325.25	0.0191	113.7	2.046	2.59	-14.75	1.43
	10.89	-65.72	75.67	0.00	0.0764	14.27	628.0	325.29	0.0190	113.2	2.038	2.58	-14.80	1.43
	11.91	-64.82	75.67	0.00	0.0764	14.27	628.1	326.73	0.0190	113.0	2.034	2.59	-14.77	1.43
	12.89	-65.72	75.70	0.00	0.0763	14.27	628.0	325.15	0.0190	113.1	2.035	2.58	-14.81	1.43
	13.91	-65.72	75.70	0.00	0.0764	14.28	628.3	325.33	0.0189	113.2	2.038	2.58	-14.80	1.43
	14.89	-65.72	75.67	0.00	0.0764	14.29	628.6	325.60	0.0189	113.4	2.042	2.59	-14.78	1.43
	15.91	-65.72	75.65	0.00	0.0765	14.28	628.4	325.59	0.0190	113.4	2.040	2.58	-14.78	1.43
	16.89	-65.26	75.67	0.00	0.0764	14.27	628.1	326.05	0.0190	113.4	2.042	2.59	-14.75	1.43
	17.89	-64.82	75.67	0.00	0.0764	14.27	627.9	326.65	0.0190	113.3	2.040	2.59	-14.74	1.43
	18.89	-66.19	75.70	0.00	0.0764	14.27	627.8	324.34	0.0190	113.2	2.038	2.57	-14.83	1.43
	19.89	-65.72	75.70	0.00	0.0763	14.28	628.1	325.24	0.0190	113.8	2.049	2.59	-14.73	1.43
	20.89	-65.72	75.67	0.00	0.0765	14.28	628.4	325.50	0.0190	113.5	2.044	2.59	-14.76	1.43
	21.89	-65.72	75.67	0.00	0.0764	14.29	628.6	325.59	0.0191	113.8	2.048	2.59	-14.74	1.43
	22.89	-65.72	75.70	0.00	0.0763	14.27	628.0	325.19	0.0190	113.8	2.049	2.59	-14.73	1.43
	23.89	-65.72	75.67	0.00	0.0764	14.27	628.1	325.31	0.0190	113.6	2.045	2.59	-14.75	1.43
