Jun 17 2020 at 20:51:54
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	-65.72	75.75	0.00	0.0727	13.38	588.7	304.60	0.0179	106.4	1.916	2.42	-15.55	1.42
	1.55	-65.72	75.75	0.00	0.0727	13.38	588.6	304.57	0.0179	105.4	1.898	2.40	-15.66	1.42
	2.53	-65.71	75.72	0.00	0.0728	13.38	588.7	304.71	0.0178	105.8	1.904	2.41	-15.62	1.42
	3.55	-65.72	75.72	0.00	0.0724	13.39	589.1	304.90	0.0173	106.4	1.916	2.42	-15.55	1.42
	4.55	-65.72	75.72	0.00	0.0725	13.35	587.3	303.97	0.0176	104.3	1.878	2.38	-15.79	1.42
	5.55	-65.72	75.72	0.00	0.0724	13.31	585.5	303.04	0.0174	102.7	1.848	2.34	-15.98	1.42
	6.55	-65.26	75.75	0.00	0.0725	13.31	585.8	303.79	0.0175	102.9	1.852	2.35	-15.93	1.42
	7.55	-65.26	75.72	0.00	0.0725	13.35	587.3	304.65	0.0176	104.4	1.880	2.38	-15.75	1.42
	8.55	-65.72	75.72	0.00	0.0726	13.36	587.7	304.18	0.0177	104.7	1.885	2.39	-15.74	1.42
	9.53	-65.72	75.72	0.00	0.0725	13.36	587.9	304.31	0.0175	104.9	1.888	2.39	-15.72	1.42
	10.55	-65.72	75.78	0.00	0.0726	13.34	586.7	303.50	0.0177	103.8	1.869	2.36	-15.84	1.42
	11.53	-65.72	75.70	0.00	0.0725	13.34	587.0	303.92	0.0176	104.0	1.872	2.37	-15.83	1.42
	12.55	-65.72	75.72	0.00	0.0725	13.34	587.0	303.86	0.0176	104.2	1.875	2.37	-15.81	1.42
	13.53	-65.72	75.72	0.00	0.0726	13.36	587.9	304.28	0.0177	104.9	1.889	2.39	-15.71	1.42
	14.55	-65.72	75.75	0.00	0.0727	13.38	588.6	304.57	0.0179	105.5	1.899	2.40	-15.65	1.42
	15.53	-65.72	75.75	0.00	0.0727	13.37	588.1	304.30	0.0178	105.2	1.893	2.39	-15.69	1.42
	16.55	-65.72	75.72	0.00	0.0726	13.35	587.6	304.13	0.0178	104.7	1.885	2.39	-15.74	1.42
	17.53	-65.72	75.72	0.00	0.0726	13.34	587.2	303.92	0.0177	103.9	1.870	2.37	-15.84	1.42
	18.55	-65.72	75.78	0.00	0.0724	13.27	583.8	301.95	0.0174	101.0	1.817	2.30	-16.18	1.42
	19.53	-65.72	75.72	0.00	0.0726	13.33	586.5	303.58	0.0176	103.2	1.858	2.35	-15.91	1.42
	20.55	-65.71	75.72	0.00	0.0725	13.34	586.9	303.78	0.0175	103.7	1.867	2.36	-15.86	1.42
	21.55	-65.72	75.72	0.00	0.0725	13.36	588.0	304.32	0.0175	103.4	1.862	2.36	-15.89	1.42
	22.55	-65.72	75.72	0.00	0.0726	13.36	587.6	304.16	0.0177	103.6	1.864	2.36	-15.87	1.42
	23.55	-64.82	75.72	0.00	0.0733	13.48	592.9	308.22	0.0176	104.1	1.875	2.38	-15.75	1.42
	24.55	-65.72	75.75	0.00	0.0727	13.65	600.4	310.69	0.0176	105.2	1.893	2.39	-15.69	1.42
	25.55	-65.72	75.75	0.00	0.0726	13.38	588.7	304.60	0.0176	103.6	1.864	2.36	-15.87	1.43
	26.55	-65.72	75.75	0.00	0.0730	13.41	590.2	305.39	0.0177	105.2	1.894	2.40	-15.68	1.42
	27.55	-65.26	75.72	0.00	0.0733	13.44	591.4	306.77	0.0178	108.0	1.945	2.47	-15.34	1.42
	28.53	-65.72	75.75	0.00	0.0731	13.54	595.7	308.23	0.0177	104.5	1.882	2.38	-15.76	1.42
	29.55	-65.72	75.72	0.00	0.0726	13.37	588.1	304.40	0.0176	103.9	1.870	2.37	-15.84	1.42
	30.53	-65.26	75.72	0.00	0.0726	13.35	587.3	304.65	0.0175	103.5	1.863	2.36	-15.85	1.42
	31.55	-65.72	75.70	0.00	0.0727	13.38	588.8	304.89	0.0179	105.2	1.894	2.40	-15.69	1.43
	32.53	-65.72	75.72	0.00	0.0727	13.37	588.2	304.45	0.0177	104.7	1.885	2.39	-15.74	1.42
	33.55	-64.82	75.72	0.00	0.0739	13.47	592.8	308.20	0.0180	107.6	1.936	2.46	-15.37	1.42
	34.53	-65.72	75.75	0.00	0.0731	13.45	591.7	306.14	0.0180	106.2	1.912	2.42	-15.57	1.42
	35.55	-65.72	75.72	0.00	0.0732	13.51	594.7	307.80	0.0179	106.4	1.915	2.42	-15.55	1.42
	36.53	-65.72	75.72	0.00	0.0737	13.65	600.8	310.97	0.0178	105.0	1.890	2.39	-15.71	1.42
	37.55	-65.72	75.75	0.00	0.0735	13.62	599.3	310.11	0.0179	106.2	1.912	2.42	-15.57	1.43
	38.55	-65.72	75.72	0.00	0.0736	13.70	602.6	311.93	0.0179	106.4	1.915	2.42	-15.55	1.42
	39.55	-65.72	75.75	0.00	0.0741	13.60	598.6	309.73	0.0179	106.2	1.912	2.42	-15.57	1.42
	40.61	-65.72	75.75	0.00	0.0729	13.41	590.3	305.42	0.0181	106.2	1.912	2.42	-15.57	1.42
	41.55	-65.72	75.72	0.00	0.0738	13.46	592.2	306.54	0.0180	106.1	1.909	2.42	-15.59	1.42
	42.55	-65.72	75.75	0.00	0.0774	15.23	670.3	346.84	0.0181	107.6	1.936	2.45	-15.42	1.42
	43.55	-65.72	75.72	0.00	0.0734	13.59	597.8	309.44	0.0179	106.3	1.913	2.42	-15.56	1.43
	44.55	-66.19	75.72	0.00	0.0731	13.45	591.9	305.67	0.0178	107.4	1.934	2.44	-15.46	1.42
	45.55	-65.72	75.72	0.00	0.0732	13.49	593.6	307.27	0.0183	107.8	1.941	2.46	-15.39	1.42
	46.55	-65.72	75.72	0.00	0.0729	13.46	592.4	306.65	0.0178	106.3	1.914	2.42	-15.56	1.42
	47.53	-65.26	75.75	0.00	0.0733	13.55	596.2	309.16	0.0180	104.9	1.888	2.39	-15.69	1.42
	48.55	-65.72	75.75	0.00	0.0730	13.45	591.7	306.17	0.0178	105.4	1.897	2.40	-15.67	1.42
	49.55	-65.72	75.72	0.00	0.0730	13.42	590.4	305.60	0.0180	106.0	1.908	2.41	-15.59	1.43
	53.53	-65.72	75.75	0.00	0.0730	13.45	591.6	306.11	0.0179	106.2	1.911	2.42	-15.58	1.42
	53.53	-65.26	75.75	0.00	0.0729	13.41	589.9	305.89	0.0179	105.9	1.906	2.42	-15.58	1.42
	53.53	-65.26	75.75	0.00	0.0731	13.48	593.0	307.51	0.0182	107.4	1.933	2.45	-15.41	1.42
	53.53	-65.72	75.72	0.00	0.0729	13.42	590.5	305.65	0.0178	105.5	1.900	2.40	-15.65	1.42
	54.55	-65.72	75.72	0.00	0.0741	13.55	596.2	308.61	0.0179	106.6	1.920	2.43	-15.52	1.43
	55.62	-65.72	75.75	0.00	0.0730	13.47	592.9	306.78	0.0180	106.6	1.918	2.43	-15.53	1.42
	56.55	-65.73	75.70	0.00	0.0732	13.48	593.0	307.04	0.0180	108.4	1.951	2.47	-15.32	1.42
	57.61	-65.26	75.72	0.00	0.0731	13.48	592.9	307.58	0.0179	106.2	1.911	2.42	-15.55	1.42
	58.55	-65.72	75.72	0.00	0.0733	13.49	593.6	307.25	0.0178	106.5	1.916	2.42	-15.54	1.42
	59.61	-65.72	75.72	0.00	0.0733	13.51	594.6	307.76	0.0178	105.8	1.904	2.41	-15.62	1.42
	60.55	-65.72	75.72	0.00	0.0733	13.51	594.3	307.63	0.0178	105.8	1.904	2.41	-15.62	1.42
	61.55	-65.72	75.70	0.00	0.0732	13.49	593.7	307.42	0.0182	108.1	1.947	2.46	-15.35	1.42
	62.55	-65.72	75.72	0.00	0.0733	13.49	593.7	307.31	0.0181	108.1	1.945	2.46	-15.36	1.42
	63.55	-65.72	75.72	0.00	0.0734	13.57	597.2	309.11	0.0181	107.2	1.929	2.44	-15.46	1.42
	64.55	-65.72	75.75	0.00	0.0733	13.53	595.5	308.11	0.0181	107.4	1.934	2.45	-15.43	1.42
	65.55	-65.72	75.75	0.00	0.0732	13.49	593.8	307.24	0.0181	107.3	1.932	2.44	-15.44	1.42
	66.55	-65.72	75.75	0.00	0.0729	13.47	592.6	306.65	0.0181	107.3	1.931	2.44	-15.45	1.42
	67.55	-65.72	75.72	0.00	0.0734	13.45	591.6	306.23	0.0179	106.6	1.918	2.43	-15.53	1.42
	68.53	-65.72	75.72	0.00	0.0734	13.54	595.6	308.31	0.0179	105.9	1.907	2.41	-15.60	1.42
	69.55	-65.72	75.72	0.00	0.0734	13.55	596.0	308.51	0.0181	107.3	1.932	2.44	-15.44	1.42
	70.53	-65.72	75.72	0.00	0.0738	13.53	595.5	308.24	0.0178	106.9	1.924	2.43	-15.49	1.42
	71.55	-66.19	75.72	0.00	0.0735	13.58	597.5	308.55	0.0177	105.1	1.891	2.39	-15.73	1.42
