Jun 18 2020 at 10:44:09
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	-65.72	73.77	0.00	0.0686	12.51	550.4	292.45	0.0284	183.7	3.307	4.29	-8.77	1.54
	1.53	-65.72	73.77	0.00	0.0685	12.54	551.7	293.14	0.0296	176.2	3.172	4.12	-9.30	1.54
	2.53	-66.19	73.80	0.00	0.0682	12.44	547.5	290.14	0.0316	198.5	3.573	4.63	-7.81	1.54
	3.53	-65.72	73.77	0.00	0.0692	12.64	556.2	295.51	0.0246	157.0	2.826	3.67	-10.76	1.54
	4.52	-65.72	73.77	0.00	0.0690	12.37	544.3	289.18	0.0261	215.5	3.878	5.04	-6.71	1.54
	5.53	-65.72	73.77	0.00	0.0687	12.51	550.3	292.39	0.0288	184.5	3.321	4.31	-8.71	1.54
	6.53	-65.72	73.80	0.00	0.0688	12.61	554.9	294.70	0.0279	163.3	2.939	3.82	-10.27	1.54
	7.53	-65.72	73.77	0.00	0.0677	12.27	540.0	286.90	0.0348	233.4	4.202	5.46	-5.67	1.54
	8.53	-65.72	73.77	0.00	0.0688	12.58	553.6	294.11	0.0279	170.3	3.065	3.98	-9.74	1.54
	9.53	-65.72	73.80	0.00	0.0680	12.66	557.2	295.92	0.0326	152.9	2.751	3.57	-11.10	1.54
	10.53	-65.72	73.80	0.00	0.0682	12.58	553.4	293.91	0.0314	171.0	3.077	4.00	-9.69	1.54
	11.53	-65.72	73.80	0.00	0.0691	12.62	555.5	295.03	0.0258	160.0	2.879	3.74	-10.53	1.54
	12.53	-65.72	73.80	0.00	0.0689	12.35	543.2	288.51	0.0275	222.5	4.005	5.20	-6.30	1.54
	13.53	-65.26	73.80	0.00	0.0689	12.44	547.4	291.39	0.0280	203.7	3.666	4.77	-7.41	1.54
	14.53	-65.72	73.80	0.00	0.0674	12.31	541.7	287.69	0.0369	233.1	4.196	5.45	-5.68	1.54
	15.53	-66.19	73.77	0.00	0.0691	12.62	555.3	294.38	0.0258	161.1	2.900	3.76	-10.47	1.54
	16.53	-66.19	73.80	0.00	0.0692	12.62	555.2	294.21	0.0252	160.0	2.881	3.73	-10.55	1.54
	17.53	-65.72	73.77	0.00	0.0685	12.44	547.2	290.74	0.0293	196.2	3.532	4.59	-7.93	1.54
	18.53	-65.72	73.77	0.00	0.0691	12.43	547.1	290.66	0.0257	199.5	3.592	4.66	-7.71	1.54
	19.53	-65.72	73.77	0.00	0.0686	12.60	554.2	294.45	0.0291	165.1	2.972	3.86	-10.13	1.54
	20.53	-65.72	73.77	0.00	0.0692	12.60	554.4	294.54	0.0245	164.4	2.959	3.84	-10.18	1.54
	21.52	-65.72	73.77	0.00	0.0693	12.60	554.2	294.46	0.0238	165.3	2.976	3.87	-10.11	1.54
	22.53	-65.72	73.77	0.00	0.0693	12.65	556.7	295.78	0.0245	154.8	2.787	3.62	-10.94	1.54
	23.61	-65.72	73.77	0.00	0.0691	12.63	555.9	295.33	0.0259	157.8	2.841	3.69	-10.69	1.54
	24.53	-65.72	73.77	0.00	0.0678	12.33	542.4	288.18	0.0347	226.6	4.079	5.30	-6.06	1.54
	25.61	-65.72	73.80	0.00	0.0673	12.07	530.9	281.98	0.0370	280.5	5.048	6.55	-3.23	1.54
	26.53	-65.72	73.80	0.00	0.0686	12.18	535.7	284.54	0.0284	254.8	4.586	5.95	-4.51	1.54
	27.53	-65.72	73.77	0.00	0.0685	12.40	545.5	289.80	0.0290	204.3	3.678	4.78	-7.40	1.54
	28.53	-65.72	73.80	0.00	0.0667	12.24	538.5	286.03	0.0397	237.4	4.273	5.55	-5.45	1.54
	29.53	-65.72	73.80	0.00	0.0668	12.11	532.8	282.96	0.0397	271.4	4.885	6.34	-3.67	1.54
	30.53	-65.72	73.77	0.00	0.0671	12.15	534.6	284.03	0.0376	260.3	4.685	6.08	-4.23	1.54
	31.53	-65.72	73.77	0.00	0.0673	12.15	534.5	283.97	0.0374	263.6	4.745	6.16	-4.06	1.54
	32.53	-65.72	73.80	0.00	0.0670	12.13	533.8	283.49	0.0390	267.3	4.811	6.25	-3.88	1.54
	33.53	-65.72	73.77	0.00	0.0670	12.13	533.7	283.55	0.0385	266.3	4.794	6.23	-3.92	1.54
	34.53	-65.72	73.77	0.00	0.0666	11.95	525.7	279.29	0.0412	309.4	5.568	7.23	-1.91	1.54
	35.53	-65.72	73.77	0.00	0.0672	12.20	537.0	285.30	0.0371	249.4	4.489	5.83	-4.80	1.54
	36.53	-65.72	73.77	0.00	0.0673	12.22	537.8	285.72	0.0371	246.8	4.443	5.77	-4.93	1.54
	37.53	-65.26	73.80	0.00	0.0673	12.97	570.5	303.67	0.0404	260.3	4.685	6.10	-4.20	1.54
	38.53	-65.26	73.80	0.00	0.0680	12.54	551.9	293.77	0.0332	179.4	3.229	4.20	-9.05	1.54
	39.53	-65.72	73.77	0.00	0.0686	12.55	552.4	293.48	0.0299	178.4	3.210	4.17	-9.15	1.54
	40.61	-65.72	73.80	0.00	0.0685	12.47	548.6	291.38	0.0309	204.4	3.679	4.78	-7.40	1.54
	41.53	-65.72	73.80	0.00	0.0678	12.24	538.7	286.12	0.0348	250.6	4.511	5.86	-4.73	1.54
	42.61	-65.72	73.77	0.00	0.0668	12.20	536.6	285.11	0.0408	260.1	4.682	6.08	-4.24	1.54
	43.53	-65.72	73.77	0.00	0.0687	12.41	545.9	290.06	0.0282	209.9	3.779	4.91	-7.05	1.54
	44.53	-65.72	73.77	0.00	0.0682	12.47	548.7	291.52	0.0318	194.3	3.498	4.54	-8.05	1.54
	45.53	-65.72	73.77	0.00	0.0678	12.31	541.5	287.69	0.0340	232.9	4.192	5.44	-5.70	1.54
	46.53	-65.72	73.77	0.00	0.0683	12.38	544.9	289.50	0.0319	217.3	3.911	5.08	-6.60	1.54
	47.53	-65.72	73.77	0.00	0.0679	12.24	538.7	286.23	0.0351	254.9	4.589	5.96	-4.50	1.54
	48.53	-65.72	73.77	0.00	0.0675	12.34	542.8	288.41	0.0371	234.1	4.214	5.47	-5.63	1.54
	49.53	-65.72	73.77	0.00	0.0675	12.26	539.4	286.59	0.0378	252.4	4.543	5.90	-4.64	1.54
	50.53	-65.72	73.77	0.00	0.0674	12.09	532.1	282.68	0.0378	293.4	5.282	6.86	-2.63	1.54
	51.53	-65.26	73.75	0.00	0.0681	12.47	548.7	292.26	0.0337	202.1	3.637	4.74	-7.52	1.54
	52.53	-65.72	73.77	0.00	0.0675	12.26	539.5	286.64	0.0370	249.9	4.499	5.84	-4.77	1.54
	53.53	-65.72	73.77	0.00	0.0685	12.45	547.8	291.03	0.0314	210.4	3.788	4.92	-7.02	1.54
	54.53	-65.26	73.77	0.00	0.0684	12.53	551.1	293.47	0.0320	192.6	3.466	4.51	-8.14	1.54
