Jun 18 2020 at 10:57:13
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.08	-65.72	73.77	0.00	0.0684	12.52	551.0	292.76	0.0313	189.5	3.412	4.43	-8.37	1.58
	1.08	-65.72	73.75	0.00	0.0683	12.47	548.5	291.51	0.0315	202.0	3.635	4.72	-7.55	1.58
	2.08	-65.72	73.75	0.00	0.0684	12.47	548.8	291.70	0.0310	200.1	3.603	4.68	-7.67	1.58
	3.08	-65.72	73.77	0.00	0.0685	12.40	545.5	289.82	0.0308	218.4	3.931	5.11	-6.54	1.58
	4.08	-65.72	73.77	0.00	0.0683	12.39	545.4	289.76	0.0317	215.4	3.878	5.04	-6.72	1.58
	5.08	-65.71	73.75	0.00	0.0678	12.36	543.9	289.11	0.0347	223.9	4.030	5.24	-6.21	1.58
	6.08	-65.72	73.75	0.00	0.0676	12.26	539.4	286.71	0.0367	251.1	4.519	5.87	-4.71	1.58
	7.08	-65.72	73.75	0.00	0.0673	12.25	539.0	286.47	0.0384	250.6	4.510	5.86	-4.73	1.58
	8.08	-65.72	73.77	0.00	0.0679	12.33	542.4	288.16	0.0344	235.2	4.234	5.50	-5.57	1.58
	9.08	-66.19	73.77	0.00	0.0682	12.38	544.7	288.74	0.0328	224.3	4.037	5.23	-6.22	1.58
	10.08	-65.72	73.75	0.00	0.0682	12.40	545.7	290.02	0.0334	221.4	3.985	5.18	-6.36	1.58
	11.08	-65.72	73.72	0.00	0.0684	12.48	549.1	291.93	0.0319	202.9	3.652	4.75	-7.49	1.58
	12.08	-65.72	73.75	0.00	0.0682	12.45	547.7	291.10	0.0332	212.0	3.816	4.96	-6.92	1.58
	13.08	-65.72	73.77	0.00	0.0682	12.40	545.5	289.81	0.0330	220.9	3.977	5.17	-6.39	1.58
	14.16	-65.72	73.75	0.00	0.0684	12.36	544.0	289.13	0.0325	233.5	4.203	5.46	-5.66	1.58
	15.08	-64.82	73.75	0.00	0.0684	12.39	545.1	290.97	0.0320	227.6	4.097	5.35	-5.94	1.58
	16.08	-65.72	73.75	0.00	0.0678	12.37	544.1	289.20	0.0360	232.7	4.189	5.44	-5.71	1.58
	17.08	-65.72	73.75	0.00	0.0679	12.32	542.2	288.15	0.0353	242.9	4.372	5.68	-5.14	1.58
	18.08	-65.72	73.75	0.00	0.0678	12.34	542.9	288.53	0.0356	236.7	4.261	5.54	-5.48	1.58
	19.08	-65.72	73.72	0.00	0.0677	12.29	540.6	287.45	0.0358	248.8	4.478	5.82	-4.83	1.58
	20.08	-65.72	73.75	0.00	0.0684	12.44	547.2	290.81	0.0310	210.8	3.794	4.93	-7.00	1.58
	21.08	-66.19	73.75	0.00	0.0683	12.47	548.7	290.98	0.0314	198.7	3.577	4.64	-7.79	1.58
	22.08	-65.72	73.75	0.00	0.0684	12.50	550.1	292.39	0.0314	193.1	3.477	4.52	-8.13	1.58
	23.08	-65.72	73.75	0.00	0.0679	12.33	542.4	288.28	0.0351	235.6	4.240	5.51	-5.55	1.58
	24.08	-65.26	73.77	0.00	0.0678	12.33	542.7	288.97	0.0360	237.5	4.274	5.56	-5.41	1.58
	25.08	-65.72	73.77	0.00	0.0678	12.31	541.8	287.88	0.0366	250.2	4.504	5.85	-4.75	1.58
	26.08	-65.72	73.75	0.00	0.0689	12.55	552.3	293.56	0.0278	177.5	3.194	4.15	-9.21	1.58
	27.08	-65.72	73.77	0.00	0.0686	12.48	549.3	291.86	0.0297	197.5	3.555	4.62	-7.84	1.58
	28.08	-65.72	73.77	0.00	0.0685	12.46	548.3	291.32	0.0303	200.9	3.615	4.70	-7.62	1.58
	29.08	-65.26	73.75	0.00	0.0679	12.38	544.7	290.15	0.0351	221.7	3.991	5.20	-6.31	1.58
	30.08	-65.72	73.77	0.00	0.0680	12.36	543.7	288.86	0.0352	229.8	4.136	5.37	-5.87	1.58
	31.16	-65.72	73.77	0.00	0.0679	12.31	541.8	287.86	0.0343	238.6	4.295	5.58	-5.38	1.58
	32.08	-65.72	73.75	0.00	0.0677	12.30	541.2	287.66	0.0357	239.0	4.301	5.59	-5.36	1.58
	33.08	-65.72	73.77	0.00	0.0677	12.38	544.8	289.45	0.0359	217.0	3.905	5.07	-6.62	1.58
	34.08	-65.72	73.77	0.00	0.0683	12.45	548.0	291.15	0.0317	202.0	3.636	4.72	-7.55	1.58
	35.08	-65.72	73.75	0.00	0.0679	12.38	544.6	289.46	0.0340	219.1	3.944	5.12	-6.50	1.58
