Jun 18 2020 at 11:12:28
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.39	-65.72	73.77	0.00	0.0651	11.68	514.1	273.15	0.0617	492.4	8.863	11.51	4.56	1.59
	1.38	-65.72	73.75	0.00	0.0651	11.67	513.7	273.01	0.0604	480.3	8.646	11.23	4.20	1.59
	2.38	-66.19	73.75	0.00	0.0651	11.69	514.1	272.64	0.0607	482.2	8.679	11.25	4.22	1.59
	3.38	-65.72	73.75	0.00	0.0651	11.74	516.4	274.49	0.0611	509.5	9.172	11.92	5.05	1.59
	4.38	-65.72	73.77	0.00	0.0651	11.69	514.3	273.28	0.0615	487.9	8.782	11.41	4.43	1.59
	5.38	-66.19	73.75	0.00	0.0651	11.69	514.4	272.79	0.0616	492.3	8.861	11.49	4.52	1.59
	6.38	-65.72	73.75	0.00	0.0653	11.71	515.2	273.80	0.0630	501.0	9.018	11.72	4.81	1.59
	7.38	-65.72	73.72	0.00	0.0652	11.71	515.1	273.84	0.0623	499.5	8.991	11.68	4.76	1.59
	8.38	-65.72	73.75	0.00	0.0653	11.72	515.6	274.06	0.0630	507.0	9.126	11.86	4.98	1.59
	9.38	-65.72	73.75	0.00	0.0653	11.73	515.9	274.21	0.0635	510.3	9.185	11.93	5.07	1.59
	10.38	-65.26	73.75	0.00	0.0653	11.74	516.7	275.25	0.0638	521.4	9.385	12.22	5.41	1.59
	11.45	-65.72	73.69	0.00	0.0652	11.73	516.2	274.55	0.0633	514.0	9.251	12.03	5.17	1.59
	12.38	-65.72	73.75	0.00	0.0654	11.73	516.3	274.39	0.0641	512.5	9.225	11.99	5.13	1.59
	13.45	-66.19	73.75	0.00	0.0654	11.74	516.7	273.98	0.0641	517.9	9.322	12.08	5.25	1.59
	14.38	-65.72	73.75	0.00	0.0654	11.74	516.6	274.56	0.0641	515.3	9.276	12.05	5.21	1.59
	15.39	-65.72	73.75	0.00	0.0656	11.77	518.0	275.30	0.0654	528.1	9.505	12.35	5.56	1.59
	16.38	-65.26	73.72	0.00	0.0656	11.79	519.0	276.52	0.0660	536.6	9.659	12.58	5.82	1.59
	17.39	-65.72	73.75	0.00	0.0655	11.78	518.5	275.57	0.0646	529.0	9.522	12.37	5.59	1.59
	18.38	-65.72	73.75	0.00	0.0656	11.79	518.6	275.62	0.0653	530.9	9.557	12.42	5.64	1.59
	19.39	-65.72	73.72	0.00	0.0657	11.82	520.0	276.48	0.0663	544.9	9.808	12.75	6.01	1.59
	20.38	-64.82	73.75	0.00	0.0656	11.79	518.9	277.00	0.0651	532.9	9.592	12.52	5.75	1.59
	21.39	-65.72	73.80	0.00	0.0658	11.82	520.2	276.31	0.0667	546.6	9.840	12.77	6.06	1.59
	22.38	-65.72	73.72	0.00	0.0658	11.83	520.6	276.81	0.0665	544.2	9.795	12.73	5.99	1.59
	23.38	-65.26	73.75	0.00	0.0658	11.86	521.6	277.87	0.0667	552.5	9.945	12.95	6.25	1.60
	24.38	-65.72	73.72	0.00	0.0657	11.85	521.2	277.12	0.0659	544.4	9.800	12.74	6.00	1.59
	25.38	-65.72	73.72	0.00	0.0659	11.86	522.0	277.53	0.0668	555.6	10.000	13.00	6.29	1.60
	26.38	-65.26	73.75	0.00	0.0660	11.89	523.3	278.74	0.0676	562.5	10.124	13.18	6.51	1.60
	27.38	-65.72	73.75	0.00	0.0658	11.85	521.3	277.05	0.0663	544.8	9.807	12.74	6.01	1.60
	28.38	-65.72	73.75	0.00	0.0659	11.86	521.7	277.29	0.0666	547.5	9.856	12.80	6.08	1.59
	29.38	-65.72	73.75	0.00	0.0659	11.89	523.0	277.97	0.0668	554.2	9.976	12.96	6.26	1.60
	30.45	-65.72	73.75	0.00	0.0661	11.89	523.2	278.09	0.0678	555.1	9.992	12.98	6.28	1.60
	31.38	-65.72	73.75	0.00	0.0660	11.88	522.8	277.88	0.0673	553.4	9.962	12.94	6.24	1.60
	32.39	-65.72	73.75	0.00	0.0662	11.94	525.5	279.32	0.0682	570.2	10.264	13.34	6.67	1.60
	33.38	-65.72	73.72	0.00	0.0661	11.92	524.7	278.95	0.0674	560.9	10.096	13.12	6.43	1.60
	34.39	-65.72	73.72	0.00	0.0661	11.93	525.1	279.18	0.0677	564.1	10.153	13.20	6.52	1.60
	35.38	-65.26	73.75	0.00	0.0662	11.94	525.2	279.75	0.0677	562.7	10.129	13.19	6.51	1.60
	36.39	-65.72	73.72	0.00	0.0663	11.97	526.6	279.98	0.0684	572.3	10.302	13.39	6.73	1.60
	37.38	-65.72	73.72	0.00	0.0663	11.97	526.7	280.03	0.0686	573.7	10.327	13.42	6.76	1.60
	38.39	-65.26	73.75	0.00	0.0662	11.95	525.6	279.97	0.0681	565.4	10.177	13.25	6.58	1.60
	39.38	-65.71	73.72	0.00	0.0663	11.95	526.0	279.65	0.0682	566.9	10.204	13.26	6.59	1.60
	40.39	-65.26	73.72	0.00	0.0665	12.00	527.8	281.23	0.0694	580.8	10.454	13.62	6.97	1.60
	41.38	-65.72	73.72	0.00	0.0663	11.97	526.5	279.94	0.0684	569.8	10.256	13.33	6.66	1.60
	42.39	-65.72	73.75	0.00	0.0664	12.00	527.9	280.56	0.0687	579.4	10.429	13.55	6.90	1.60
	43.38	-66.19	73.75	0.00	0.0665	12.02	528.8	280.39	0.0699	585.9	10.547	13.67	7.04	1.60
	44.38	-65.72	73.77	0.00	0.0665	12.02	529.0	281.07	0.0697	587.3	10.572	13.73	7.10	1.60
	45.38	-65.72	73.72	0.00	0.0666	12.05	530.0	281.81	0.0703	595.8	10.725	13.94	7.31	1.60
	46.38	-65.72	73.75	0.00	0.0666	12.03	529.3	281.33	0.0700	586.1	10.550	13.71	7.07	1.60
	47.38	-65.72	73.72	0.00	0.0666	12.03	529.4	281.49	0.0703	588.9	10.600	13.78	7.14	1.60
