Jun 18 2020 at 11:21:36
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.70	-65.72	73.72	0.00	0.0663	11.95	526.0	279.67	0.0467	344.9	6.208	8.07	-0.43	1.60
	1.70	-65.72	73.69	0.00	0.0664	11.99	527.6	280.64	0.0460	329.6	5.934	7.71	-1.05	1.60
	2.70	-65.72	73.69	0.00	0.0662	11.99	527.4	280.48	0.0467	334.3	6.017	7.82	-0.86	1.60
	3.70	-65.72	73.75	0.00	0.0662	11.95	525.8	279.47	0.0479	344.9	6.209	8.07	-0.43	1.60
	4.70	-65.72	73.75	0.00	0.0658	11.87	522.1	277.50	0.0512	375.4	6.757	8.78	0.74	1.60
	5.70	-65.72	73.75	0.00	0.0658	11.85	521.3	277.10	0.0501	368.7	6.636	8.62	0.49	1.60
	6.70	-65.72	73.75	0.00	0.0662	11.91	524.2	278.59	0.0479	355.1	6.391	8.30	-0.03	1.60
	7.70	-65.72	73.75	0.00	0.0660	11.91	524.1	278.56	0.0486	358.9	6.459	8.39	0.12	1.60
	8.70	-65.72	73.75	0.00	0.0658	11.87	522.2	277.54	0.0499	365.1	6.572	8.54	0.36	1.60
	9.70	-65.72	73.75	0.00	0.0657	11.88	522.9	277.90	0.0501	364.2	6.556	8.52	0.32	1.60
	10.70	-65.72	73.75	0.00	0.0658	11.84	520.9	276.86	0.0503	386.0	6.948	9.03	1.13	1.60
	11.72	-65.72	73.74	0.00	0.0657	11.85	521.6	277.24	0.0513	375.8	6.764	8.79	0.75	1.60
	12.70	-65.73	73.72	0.00	0.0659	11.88	522.5	277.81	0.0501	372.0	6.695	8.70	0.61	1.60
	13.72	-65.72	73.75	0.00	0.0657	11.84	521.0	276.89	0.0503	373.4	6.721	8.73	0.67	1.60
	14.70	-65.72	73.72	0.00	0.0658	11.84	521.1	277.07	0.0508	380.9	6.857	8.91	0.94	1.60
	15.72	-65.72	73.75	0.00	0.0659	11.82	520.1	276.41	0.0507	383.5	6.902	8.97	1.03	1.60
	16.70	-65.72	73.75	0.00	0.0656	11.76	517.6	275.09	0.0520	394.3	7.097	9.22	1.42	1.60
	17.72	-65.72	73.75	0.00	0.0656	11.78	518.4	275.55	0.0524	398.2	7.167	9.31	1.56	1.60
	18.70	-65.71	73.72	0.00	0.0655	11.82	519.9	276.44	0.0530	394.8	7.107	9.24	1.44	1.60
	19.70	-65.72	73.72	0.00	0.0654	11.77	518.1	275.45	0.0529	399.1	7.184	9.34	1.59	1.60
	20.70	-65.72	73.72	0.00	0.0657	11.82	519.9	276.41	0.0525	395.3	7.115	9.25	1.46	1.60
	21.70	-65.72	73.75	0.00	0.0653	11.77	518.0	275.33	0.0550	404.2	7.275	9.45	1.77	1.60
	22.70	-65.72	73.75	0.00	0.0655	11.74	516.6	274.55	0.0535	408.2	7.348	9.55	1.91	1.60
	23.70	-65.26	73.77	0.00	0.0655	11.76	517.6	275.63	0.0532	408.6	7.354	9.57	1.95	1.60
	24.70	-65.72	73.75	0.00	0.0650	11.73	516.0	274.24	0.0557	423.8	7.628	9.91	2.43	1.60
	25.70	-65.72	73.75	0.00	0.0653	11.75	516.9	274.73	0.0545	414.7	7.464	9.70	2.13	1.60
	26.70	-65.72	73.75	0.00	0.0652	11.73	516.1	274.30	0.0554	420.1	7.562	9.82	2.31	1.60
	27.70	-65.72	73.75	0.00	0.0651	11.68	513.8	273.09	0.0556	426.4	7.675	9.97	2.52	1.60
	28.72	-65.72	73.75	0.00	0.0651	11.66	513.2	272.77	0.0554	430.5	7.750	10.07	2.65	1.60
	29.70	-65.72	73.75	0.00	0.0651	11.66	513.1	272.70	0.0561	434.0	7.811	10.15	2.76	1.60
	30.72	-65.73	73.75	0.00	0.0651	11.64	512.2	272.24	0.0563	447.6	8.056	10.47	3.20	1.60
	31.70	-65.72	73.75	0.00	0.0652	11.69	514.4	273.39	0.0557	432.7	7.788	10.12	2.72	1.60
	32.72	-65.72	73.72	0.00	0.0650	11.68	514.0	273.30	0.0565	435.0	7.829	10.18	2.80	1.60
	33.70	-65.72	73.77	0.00	0.0649	11.65	512.5	272.31	0.0570	443.3	7.980	10.36	3.07	1.60
	34.72	-65.72	73.75	0.00	0.0650	11.67	513.7	273.02	0.0567	435.9	7.846	10.19	2.83	1.60
	35.70	-65.72	73.72	0.00	0.0650	11.65	512.7	272.60	0.0571	443.6	7.985	10.38	3.07	1.60
	36.72	-65.72	73.75	0.00	0.0648	11.62	511.3	271.75	0.0583	455.9	8.206	10.66	3.46	1.60
	37.70	-65.72	73.75	0.00	0.0648	11.63	511.7	271.95	0.0575	448.7	8.077	10.49	3.24	1.60
	38.72	-65.72	73.77	0.00	0.0648	11.62	511.4	271.72	0.0579	452.6	8.146	10.58	3.36	1.60
	39.70	-65.72	73.74	0.00	0.0647	11.60	510.4	271.28	0.0585	458.7	8.257	10.73	3.55	1.61
	40.70	-65.72	73.75	0.00	0.0648	11.61	511.0	271.60	0.0584	460.3	8.285	10.76	3.60	1.60
	41.70	-65.72	73.75	0.00	0.0648	11.61	510.8	271.51	0.0581	459.4	8.269	10.74	3.57	1.60
	42.70	-65.72	73.77	0.00	0.0647	11.60	510.6	271.28	0.0589	462.5	8.324	10.81	3.66	1.60
	43.70	-65.72	73.75	0.00	0.0647	11.62	511.3	271.78	0.0589	457.9	8.241	10.71	3.52	1.60
