Jun 23 2020 at 20:33:23
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.33	-65.72	73.95	0.00	0.0832	16.01	704.3	373.29	0.0411	287.1	5.168	6.70	-2.92	1.42
	1.25	-65.72	74.03	0.00	0.0791	15.21	669.3	354.35	0.0406	288.6	5.194	6.72	-2.85	1.42
	2.27	-66.19	74.03	0.00	0.0789	15.00	660.1	348.70	0.0404	278.8	5.019	6.48	-3.34	1.42
	3.25	-65.71	74.01	0.00	0.0868	19.11	840.6	445.23	0.0402	284.9	5.129	6.64	-3.02	1.42
	4.26	-65.72	74.03	0.00	0.0807	15.46	680.2	360.14	0.0409	283.0	5.095	6.59	-3.11	1.42
	5.25	-65.72	74.01	0.00	0.0816	15.40	677.7	358.94	0.0406	282.6	5.087	6.59	-3.13	1.42
	6.26	-65.72	74.01	0.00	0.0785	14.91	656.2	347.52	0.0404	281.1	5.060	6.55	-3.20	1.42
	7.25	-65.72	74.01	0.00	0.0772	14.58	641.3	339.68	0.0397	275.1	4.953	6.41	-3.49	1.42
	8.27	-65.72	74.01	0.00	0.0781	14.58	641.5	339.77	0.0404	275.8	4.964	6.43	-3.46	1.42
	9.25	-65.72	74.01	0.00	0.0817	15.39	677.3	358.70	0.0409	283.9	5.110	6.62	-3.07	1.42
	10.27	-65.72	74.01	0.00	0.0796	15.25	670.9	355.31	0.0409	285.6	5.141	6.66	-2.99	1.42
	11.27	-65.72	74.01	0.00	0.0826	15.76	693.6	367.36	0.0409	286.7	5.161	6.68	-2.94	1.42
	12.25	-65.26	74.03	0.00	0.0849	15.89	699.2	371.03	0.0405	282.2	5.080	6.59	-3.12	1.42
	13.27	-65.72	74.01	0.00	0.0779	14.83	652.4	345.53	0.0402	281.3	5.064	6.56	-3.19	1.42
	14.25	-65.72	74.01	0.00	0.0781	14.75	649.0	343.70	0.0403	279.2	5.025	6.51	-3.30	1.42
	15.27	-65.71	74.03	0.00	0.0767	14.40	633.5	335.41	0.0393	270.3	4.866	6.30	-3.72	1.42
	16.25	-65.72	74.03	0.00	0.0772	14.64	644.1	341.02	0.0397	277.0	4.986	6.45	-3.40	1.42
	17.27	-65.72	74.03	0.00	0.0772	14.66	645.2	341.59	0.0396	277.8	5.001	6.47	-3.36	1.42
	18.33	-65.72	74.01	0.00	0.0768	14.51	638.4	338.11	0.0395	274.4	4.940	6.40	-3.52	1.42
	19.27	-65.72	74.03	0.00	0.0762	14.33	630.7	333.93	0.0389	269.9	4.858	6.29	-3.75	1.42
	20.33	-65.72	73.98	0.00	0.0857	16.02	704.9	373.46	0.0400	275.7	4.963	6.43	-3.46	1.42
	21.27	-65.72	74.03	0.00	0.0823	15.45	680.0	360.00	0.0402	281.9	5.074	6.57	-3.16	1.42
	22.27	-65.72	74.01	0.00	0.0796	15.08	663.7	351.53	0.0403	278.6	5.016	6.49	-3.32	1.42
	23.25	-65.72	73.98	0.00	0.0788	15.31	673.7	356.94	0.0404	283.1	5.095	6.60	-3.11	1.42
	24.27	-65.72	74.01	0.00	0.0801	14.95	657.7	348.34	0.0407	285.2	5.133	6.65	-3.01	1.42
	25.25	-65.72	74.01	0.00	0.0860	16.08	707.7	374.83	0.0407	284.4	5.119	6.63	-3.05	1.42
	26.27	-65.72	74.03	0.00	0.0825	16.33	718.6	380.47	0.0401	278.0	5.003	6.48	-3.35	1.42
	27.25	-65.25	74.03	0.00	0.0808	16.50	726.1	385.28	0.0403	283.6	5.105	6.62	-3.05	1.42
	28.27	-66.19	74.01	0.00	0.0848	16.88	742.6	392.40	0.0405	283.8	5.108	6.60	-3.11	1.42
	29.25	-65.72	74.03	0.00	0.0776	14.68	646.1	342.07	0.0402	279.1	5.024	6.50	-3.30	1.42
	30.27	-65.72	74.03	0.00	0.0773	14.60	642.3	340.05	0.0399	277.6	4.997	6.47	-3.37	1.42
	31.33	-65.72	74.03	0.00	0.0770	14.59	642.0	339.88	0.0396	274.0	4.932	6.38	-3.54	1.42
	32.27	-65.72	73.98	0.00	0.0766	14.41	634.2	336.00	0.0394	272.8	4.910	6.36	-3.60	1.42
	33.27	-65.72	74.01	0.00	0.0771	14.54	639.6	338.73	0.0398	276.0	4.968	6.43	-3.45	1.42
	34.25	-65.72	74.01	0.00	0.0770	14.54	639.8	338.86	0.0397	276.1	4.970	6.43	-3.44	1.42
	35.27	-65.72	74.01	0.00	0.0764	14.44	635.6	336.61	0.0393	273.7	4.926	6.38	-3.56	1.42
	36.25	-65.72	74.01	0.00	0.0772	14.44	635.4	336.55	0.0396	274.6	4.943	6.40	-3.52	1.42
	37.27	-65.72	74.01	0.00	0.0771	14.57	641.1	339.55	0.0399	277.6	4.998	6.47	-3.37	1.42
	38.25	-65.72	74.01	0.00	0.0770	14.50	637.9	337.85	0.0398	276.2	4.972	6.44	-3.44	1.42
	39.27	-66.19	74.01	0.00	0.0770	14.53	639.1	337.71	0.0398	276.6	4.979	6.43	-3.45	1.42
	40.27	-65.72	74.01	0.00	0.0765	14.37	632.2	334.80	0.0394	272.1	4.898	6.34	-3.64	1.42
