Jun 23 2020 at 20:35:35
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	1.05	-65.72	74.01	0.00	0.0764	14.36	632.0	334.71	0.0395	273.9	4.931	6.38	-3.55	1.42
	1.97	-65.72	74.03	0.00	0.0763	14.37	632.1	334.68	0.0395	274.5	4.940	6.39	-3.52	1.42
	2.97	-65.72	74.03	0.00	0.0764	14.36	632.0	334.61	0.0395	274.2	4.936	6.39	-3.54	1.42
	3.97	-65.72	74.03	0.00	0.0765	14.38	632.5	334.88	0.0397	275.0	4.950	6.41	-3.50	1.42
	4.97	-65.72	74.01	0.00	0.0765	14.38	632.7	335.08	0.0397	275.0	4.951	6.41	-3.49	1.42
	5.97	-66.68	74.03	0.00	0.0765	14.39	633.2	333.69	0.0397	276.5	4.977	6.41	-3.49	1.42
	6.97	-65.72	74.01	0.00	0.0764	14.40	633.5	335.53	0.0398	276.5	4.977	6.44	-3.42	1.42
	7.97	-65.72	73.98	0.00	0.0766	14.41	634.1	335.93	0.0400	278.1	5.005	6.48	-3.35	1.42
	8.97	-65.26	74.03	0.00	0.0766	14.43	634.8	336.82	0.0401	278.8	5.019	6.51	-3.28	1.42
	10.05	-65.72	74.01	0.00	0.0766	14.42	634.4	335.99	0.0401	278.4	5.012	6.49	-3.33	1.41
	10.97	-65.73	74.01	0.00	0.0765	14.43	634.8	336.21	0.0400	278.8	5.018	6.50	-3.31	1.42
	11.97	-65.26	74.01	0.00	0.0766	14.44	635.3	337.19	0.0400	278.6	5.015	6.51	-3.29	1.42
	12.97	-65.72	74.01	0.00	0.0766	14.42	634.6	336.08	0.0401	278.5	5.013	6.49	-3.33	1.42
	13.97	-65.72	74.03	0.00	0.0767	14.44	635.3	336.37	0.0400	279.4	5.030	6.51	-3.28	1.42
	14.97	-65.72	74.01	0.00	0.0767	14.46	636.1	336.91	0.0403	279.8	5.036	6.52	-3.27	1.41
	15.97	-65.72	74.01	0.00	0.0768	14.46	636.2	336.95	0.0403	280.7	5.053	6.54	-3.22	1.42
	16.97	-65.72	74.01	0.00	0.0768	14.48	637.1	337.40	0.0405	280.8	5.055	6.54	-3.22	1.42
	17.97	-65.72	74.01	0.00	0.0768	14.46	636.4	337.05	0.0402	280.6	5.051	6.54	-3.23	1.42
	19.05	-65.72	74.01	0.00	0.0768	14.47	636.7	337.19	0.0403	281.2	5.061	6.55	-3.20	1.42
	19.97	-65.72	74.01	0.00	0.0769	14.49	637.7	337.75	0.0404	282.2	5.080	6.58	-3.15	1.41
	20.97	-65.72	74.01	0.00	0.0770	14.51	638.3	338.04	0.0405	283.2	5.098	6.60	-3.10	1.42
	21.97	-65.26	74.01	0.00	0.0769	14.51	638.6	338.94	0.0405	283.3	5.100	6.62	-3.07	1.42
	22.97	-65.72	74.03	0.00	0.0770	14.51	638.6	338.09	0.0406	282.7	5.089	6.59	-3.12	1.42
	23.97	-65.72	74.01	0.00	0.0769	14.54	639.6	338.73	0.0405	283.8	5.109	6.61	-3.07	1.42
	24.97	-65.72	74.01	0.00	0.0771	14.54	639.6	338.75	0.0407	285.0	5.131	6.64	-3.02	1.42
