Jun 23 2020 at 20:40:41
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	-65.72	74.03	0.00	0.0768	14.42	634.6	336.00	0.0390	267.1	4.807	6.22	-3.89	1.40
	1.55	-65.72	74.03	0.00	0.0775	14.78	650.5	344.41	0.0395	275.7	4.963	6.42	-3.46	1.41
	2.53	-65.72	74.03	0.00	0.0774	14.69	646.2	342.12	0.0395	274.6	4.943	6.40	-3.51	1.41
	3.55	-65.72	74.03	0.00	0.0761	14.29	628.6	332.83	0.0386	265.0	4.771	6.17	-3.99	1.41
	4.53	-65.72	74.03	0.00	0.0750	14.41	634.2	335.77	0.0376	268.4	4.831	6.25	-3.82	1.41
	5.53	-66.19	74.03	0.00	0.0767	14.51	638.6	337.35	0.0388	270.2	4.864	6.28	-3.76	1.41
	6.53	-65.72	74.03	0.00	0.0766	14.37	632.2	334.72	0.0388	266.7	4.801	6.21	-3.90	1.41
	7.53	-65.72	74.08	0.00	0.0754	14.26	627.4	331.93	0.0380	263.1	4.736	6.13	-4.08	1.41
	8.55	-65.26	74.03	0.00	0.0763	14.30	629.2	333.87	0.0388	265.1	4.771	6.19	-3.96	1.41
	9.53	-65.72	74.03	0.00	0.0750	14.06	618.5	327.47	0.0376	258.0	4.644	6.01	-4.34	1.41
	10.55	-65.72	74.03	0.00	0.0755	14.16	623.2	329.92	0.0383	261.8	4.713	6.10	-4.15	1.41
	11.53	-65.26	74.03	0.00	0.0762	14.38	632.7	335.71	0.0388	269.7	4.854	6.30	-3.73	1.41
	12.55	-65.26	74.03	0.00	0.0751	14.12	621.4	329.73	0.0377	261.9	4.715	6.12	-4.12	1.41
	13.53	-65.72	74.03	0.00	0.0742	13.89	611.1	323.54	0.0371	254.8	4.586	5.94	-4.51	1.41
	14.55	-65.72	74.03	0.00	0.0741	13.78	606.2	320.96	0.0369	250.9	4.517	5.85	-4.72	1.41
	15.53	-65.72	74.03	0.00	0.0748	13.90	611.6	323.79	0.0373	254.3	4.578	5.92	-4.54	1.41
	16.53	-65.73	74.06	0.00	0.0745	13.85	609.4	322.54	0.0372	251.8	4.532	5.86	-4.67	1.41
	17.55	-65.72	74.03	0.00	0.0752	14.01	616.3	326.31	0.0380	258.7	4.656	6.03	-4.31	1.41
	18.53	-65.72	74.03	0.00	0.0746	14.00	616.0	326.12	0.0374	257.9	4.643	6.01	-4.35	1.41
	19.55	-65.72	74.01	0.00	0.0743	13.87	610.3	323.20	0.0369	251.2	4.522	5.85	-4.70	1.41
