Jun 12 2020 at 10:26:56
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.70	-65.72	76.63	0.00	0.0693	12.54	551.8	282.21	0.0298	191.6	3.449	4.31	-8.23	1.69
	1.69	-65.26	76.63	0.00	0.0704	12.77	561.7	287.92	0.0269	169.5	3.052	3.82	-9.76	1.69
	2.69	-65.26	76.61	0.00	0.0698	12.68	558.1	286.15	0.0284	176.7	3.180	3.99	-9.24	1.69
	3.69	-65.72	76.66	0.00	0.0707	12.84	565.1	288.93	0.0258	164.5	2.961	3.70	-10.18	1.69
	4.69	-65.72	76.64	0.00	0.0709	12.89	567.3	290.16	0.0254	158.6	2.854	3.57	-10.64	1.69
	5.69	-65.72	76.66	0.00	0.0708	12.88	566.8	289.81	0.0255	158.3	2.850	3.56	-10.65	1.69
	6.69	-65.72	76.66	0.00	0.0701	12.71	559.3	285.96	0.0272	171.0	3.078	3.85	-9.69	1.69
	7.69	-65.72	76.66	0.00	0.0700	12.68	557.7	285.16	0.0280	175.9	3.166	3.96	-9.32	1.69
	8.69	-65.72	76.64	0.00	0.0702	12.68	557.8	285.28	0.0271	174.1	3.134	3.92	-9.46	1.69
	9.69	-65.72	76.64	0.00	0.0699	12.67	557.5	285.12	0.0273	173.9	3.131	3.91	-9.47	1.69
	10.69	-65.25	76.66	0.00	0.0699	12.68	557.9	285.90	0.0270	169.3	3.047	3.82	-9.78	1.69
	11.69	-65.72	76.66	0.00	0.0707	12.87	566.1	289.43	0.0253	157.2	2.830	3.54	-10.75	1.69
